sentence_text_en,target_keyword,target_phoneme,question_text_en,correct_answer_en,acoustic_foil_en,semantic_foil_en,scenario,difficulty,source_row_id,source_language,target_language,translation_status,sentence_text_es,question_text_es,correct_answer_es,acoustic_foil_es,semantic_foil_es
Please sweep the porch.,Porch,/p/,What should I sweep?,Porch,Torch,Deck,Daily Life,1,324,en,es,machine_translated,Por favor barre el porche.,¿Qué debo barrer?,Porche,Antorcha,Cubierta
The screen door has a hole in it.,Screen,/skr/,What has a hole?,Screen,Green,Door,Daily Life,2,325,en,es,machine_translated,La puerta mosquitera tiene un agujero.,¿Qué tiene un agujero?,Pantalla,Verde,Puerta
I need to defrost the freezer.,Defrost,/d/,What do I need to do?,Defrost,Frost,Thaw,Daily Life,2,326,en,es,machine_translated,Necesito descongelar el congelador.,¿Qué necesito hacer?,Descongelar,Helada,Deshielo
The washing machine makes a loud noise.,Washing,/w/,What makes noise?,Washing,Wishing,Appliance,Daily Life,2,327,en,es,machine_translated,La lavadora hace un ruido fuerte.,¿Qué hace ruido?,Lavado,Deseando,Aparato
Please check the expiration date.,Expiration,/ɛ/,What should I check?,Expiration,Aspiration,Date,Daily Life,3,328,en,es,machine_translated,Por favor verifique la fecha de vencimiento.,¿Qué debo comprobar?,Vencimiento,Aspiración,Fecha
The bookshelf needs to be dusted.,Bookshelf,/b/,What needs dusting?,Bookshelf,Book shelf,Furniture,Daily Life,2,329,en,es,clinically_reviewed,Es necesario quitar el polvo de la estantería.,¿Qué necesita quitarse el polvo?,La estantería,La lavandería,Los muebles
I scheduled a plumber for Tuesday.,Plumber,/p/,Who did I schedule?,Plumber,Lumber,Repairman,Daily Life,2,330,en,es,machine_translated,Programé un plomero para el martes.,¿A quién programé?,Plomero,Maderas,Reparador
The recycling bin is overflowing.,Recycling,/r/,What is overflowing?,Recycling,Bicycling,Bin,Daily Life,2,331,en,es,machine_translated,La papelera de reciclaje está desbordada.,¿Qué está desbordando?,Reciclaje,Andar en bicicleta,Papelera
Please replace the shower curtain.,Curtain,/k/,What should I replace?,Curtain,Certain,Cover,Daily Life,2,332,en,es,machine_translated,Reemplace la cortina de la ducha.,¿Qué debo reemplazar?,Cortina,Cierto,Cubrir
The cable box needs to be reset.,Cable,/k/,What needs resetting?,Cable,Label,Box,Daily Life,2,333,en,es,machine_translated,Es necesario restablecer el decodificador de cable.,¿Qué necesita restablecerse?,Cable,Etiqueta,Caja
I forgot to set my alarm last night.,Alarm,/ɑ/,What did I forget to set?,Alarm,Farm,Clock,Daily Life,1,334,en,es,machine_translated,Anoche me olvidé de poner la alarma.,¿Qué me olvidé de configurar?,Alarma,Granja,Reloj
The garden hose has a leak.,Hose,/h/,What has a leak?,Hose,Rose,Tube,Daily Life,2,335,en,es,machine_translated,La manguera del jardín tiene una fuga.,¿Qué tiene una fuga?,Manguera,Rosa,Tubo
Please organize the junk drawer.,Drawer,/dr/,What should I organize?,Drawer,Raw,Storage,Daily Life,2,336,en,es,machine_translated,"Por favor, organiza el cajón de basura.",¿Qué debo organizar?,Cajón,Crudo,Almacenamiento
The motion sensor light is broken.,Sensor,/s/,What is broken?,Sensor,Censor,Detector,Daily Life,2,337,en,es,machine_translated,La luz del sensor de movimiento está rota.,¿Qué está roto?,Sensor,Censurar,Detector
I need to call the exterminator.,Exterminator,/ɛ/,Who do I need to call?,Exterminator,Terminator,Pest control,Daily Life,3,338,en,es,machine_translated,Necesito llamar al exterminador.,¿A quién debo llamar?,Exterminador,terminador,control de plagas
The driveway needs to be shoveled.,Driveway,/dr/,What needs shoveling?,Driveway,Drive way,Path,Daily Life,2,339,en,es,machine_translated,Es necesario palear el camino de entrada.,¿Qué necesita ser paleado?,Entrada de coches,Manera de conducir,Camino
Please tighten the loose screw.,Screw,/skr/,What should I tighten?,Screw,Brew,Fastener,Daily Life,2,340,en,es,machine_translated,Apriete el tornillo suelto.,¿Qué debo apretar?,Tornillo,Elaborar cerveza,Cierre
The roof is leaking in the corner.,Roof,/r/,What is leaking?,Roof,Proof,Top,Daily Life,2,341,en,es,machine_translated,El techo tiene goteras en la esquina.,¿Qué está goteando?,Techo,Prueba,Arriba
I scheduled an electrician for Monday.,Electrician,/ɛ/,Who did I schedule?,Electrician,Politician,Repair person,Daily Life,3,342,en,es,machine_translated,Programé un electricista para el lunes.,¿A quién programé?,Electricista,Político,persona reparadora
The fireplace needs cleaning before winter.,Fireplace,/f/,What needs cleaning?,Fireplace,Fire place,Hearth,Daily Life,2,343,en,es,clinically_reviewed,La chimenea necesita limpieza antes del invierno.,¿Qué necesita limpieza?,La chimenea,La cochera,La estufa
The children are playing outside.,Playing,/p/,What are the children doing?,Playing,Praying,Running,Outdoors,1,344,en,es,machine_translated,Los niños están jugando afuera.,¿Qué están haciendo los niños?,Jugando,orando,Correr
The garden needs more sunlight.,Sunlight,/s/,What does the garden need?,Sunlight,Sun light,Shade,Outdoors,2,345,en,es,clinically_reviewed,El jardín necesita más luz solar.,¿Qué necesita el jardín?,Más sol,Más calor,Más agua
The birds are singing this morning.,Singing,/s/,What are the birds doing?,Singing,Stinging,Chirping,Outdoors,1,346,en,es,machine_translated,Los pájaros cantan esta mañana.,¿Qué están haciendo los pájaros?,Cantando,Escozor,chirrido
The flowers bloomed early this year.,Bloomed,/b/,What did the flowers do?,Bloomed,Gloomed,Opened,Outdoors,2,347,en,es,machine_translated,Las flores florecieron a principios de este año.,¿Qué hicieron las flores?,floreció,sombrío,Abierto
I need to rake the leaves.,Rake,/r/,What do I need to do?,Rake,Lake,Gather,Outdoors,1,348,en,es,machine_translated,Necesito rastrillar las hojas.,¿Qué necesito hacer?,Rastrillo,Lago,Recolectar
The sprinklers turn on at dawn.,Sprinklers,/spr/,What turns on at dawn?,Sprinklers,Sprinters,Watering,Outdoors,3,349,en,es,machine_translated,Los aspersores se encienden al amanecer.,¿Qué se enciende al amanecer?,Aspersores,velocistas,Riego
The fence needs a new coat of paint.,Fence,/f/,What needs paint?,Fence,Dense,Barrier,Outdoors,2,350,en,es,machine_translated,La valla necesita una nueva capa de pintura.,¿Qué necesita pintura?,Cerca,Denso,Barrera
The picnic is planned for Sunday.,Picnic,/p/,What is planned?,Picnic,Panic,Outing,Outdoors,2,351,en,es,machine_translated,El picnic está previsto para el domingo.,¿Qué está previsto?,Picnic,Pánico,Excursión
The trail leads to the waterfall.,Trail,/tr/,Where does the trail lead?,Trail,Rail,Path,Outdoors,2,352,en,es,clinically_reviewed,El sendero conduce a la cascada.,¿Adónde lleva el sendero?,La cascada,La calzada,El río
The sunset was absolutely beautiful.,Sunset,/s/,What was beautiful?,Sunset,Sun set,Evening,Outdoors,2,353,en,es,clinically_reviewed,La puesta de sol fue absolutamente hermosa.,¿Qué fue hermoso?,La puesta de sol,La salida del sol,La vista
The squirrels gathered the acorns.,Squirrels,/skw/,What gathered acorns?,Squirrels,Spirals,Animals,Outdoors,3,354,en,es,machine_translated,Las ardillas recogieron las bellotas.,¿Qué recogieron bellotas?,Ardillas,Espirales,animales
The breeze feels cool today.,Breeze,/br/,What feels cool?,Breeze,Trees,Wind,Outdoors,2,355,en,es,machine_translated,La brisa se siente fresca hoy.,¿Qué se siente genial?,Brisa,Árboles,Viento
The pond has frozen over.,Frozen,/fr/,What has the pond done?,Frozen,Chosen,Iced,Outdoors,2,356,en,es,machine_translated,El estanque se ha congelado.,¿Qué ha hecho el estanque?,Congelado,Preferido,Con hielo
The hammock is hung between two trees.,Hammock,/h/,What is between two trees?,Hammock,Haddock,Swing,Outdoors,2,357,en,es,machine_translated,La hamaca está colgada entre dos árboles.,¿Qué hay entre dos árboles?,Hamaca,Eglefino,Balancearse
The fireflies came out at dusk.,Fireflies,/f/,What came out?,Fireflies,Butterflies,Bugs,Outdoors,2,358,en,es,machine_translated,Las luciérnagas salieron al anochecer.,¿Qué salió?,Luciérnagas,mariposas,Insectos
The temperature dropped overnight.,Temperature,/t/,What dropped?,Temperature,Temperament,Weather,Outdoors,2,359,en,es,machine_translated,La temperatura bajó durante la noche.,¿Qué cayó?,Temperatura,Temperamento,Clima
The mosquitoes are bad this summer.,Mosquitoes,/m/,What is bad this summer?,Mosquitoes,Toes,Insects,Outdoors,3,360,en,es,machine_translated,Los mosquitos son malos este verano.,¿Qué hay de malo este verano?,mosquitos,Dedos de los pies,insectos
The grass is wet from the dew.,Dew,/d/,Why is the grass wet?,Dew,Do,Moisture,Outdoors,2,361,en,es,machine_translated,La hierba está mojada por el rocío.,¿Por qué está mojada la hierba?,Rocío,Hacer,Humedad
The storm knocked down several branches.,Branches,/br/,What was knocked down?,Branches,Ranches,Limbs,Outdoors,2,362,en,es,machine_translated,La tormenta derribó varias ramas.,¿Qué fue derribado?,Sucursales,Ranchos,Extremidades
The shade under the tree is nice.,Shade,/ʃ/,What is nice?,Shade,Shape,Shadow,Outdoors,2,363,en,es,clinically_reviewed,La sombra bajo el árbol es agradable.,¿Qué es bonito?,La sombra,Forma,La brisa
The concert starts at eight.,Concert,/k/,What starts at eight?,Concert,Consort,Show,Entertainment,2,364,en,es,machine_translated,El concierto empieza a las ocho.,¿Qué empieza a las ocho?,Concierto,Consorte,Espectáculo
The movie received excellent reviews.,Reviews,/r/,What did the movie receive?,Reviews,Remove,Ratings,Entertainment,2,365,en,es,machine_translated,La película recibió excelentes críticas.,¿Qué recibió la película?,Reseñas,Eliminar,Calificaciones
The tickets sold out quickly.,Tickets,/t/,What sold out?,Tickets,Thickets,Passes,Entertainment,1,366,en,es,machine_translated,Las entradas se agotaron rápidamente.,¿Qué se agotó?,Entradas,Matorrales,Pases
The band played until midnight.,Band,/b/,What played until midnight?,Band,Hand,Group,Entertainment,1,367,en,es,machine_translated,La banda tocó hasta medianoche.,¿Qué jugó hasta medianoche?,Banda,Mano,Grupo
The performance was outstanding.,Performance,/p/,What was outstanding?,Performance,Conformance,Show,Entertainment,2,368,en,es,machine_translated,La actuación fue sobresaliente.,¿Qué fue sobresaliente?,Actuación,Conformidad,Espectáculo
The theater is downtown.,Theater,/θ/,Where is the theater?,Theater,Beater,Building,Entertainment,2,369,en,es,machine_translated,El teatro está en el centro.,¿Dónde está el teatro?,Teatro,Batidora,Edificio
The comedy show was hilarious.,Comedy,/k/,What kind of show?,Comedy,Commodity,Funny,Entertainment,2,370,en,es,machine_translated,El programa de comedia fue divertidísimo.,¿Qué tipo de espectáculo?,Comedia,Producto,Divertido
The museum exhibit closes next month.,Exhibit,/ɛ/,What closes next month?,Exhibit,Inhibit,Display,Entertainment,3,371,en,es,machine_translated,La exposición del museo cierra el próximo mes.,¿Qué cierra el próximo mes?,Anexo,Inhibir,Mostrar
The festival attracts thousands of visitors.,Festival,/f/,What attracts visitors?,Festival,Festal,Event,Entertainment,3,372,en,es,machine_translated,El festival atrae a miles de visitantes.,¿Qué atrae a los visitantes?,Festival,Festivo,Evento
The documentary won several awards.,Documentary,/d/,What won awards?,Documentary,Momentary,Film,Entertainment,3,373,en,es,machine_translated,El documental ganó varios premios.,¿Qué ganó premios?,Documental,Momentáneo,Película
The seats are in the front row.,Seats,/s/,Where are the seats?,Seats,Beats,Chairs,Entertainment,1,374,en,es,machine_translated,Los asientos están en la primera fila.,¿Dónde están los asientos?,Asientos,Latidos,Sillas
The intermission lasts fifteen minutes.,Intermission,/ɪ/,What lasts fifteen minutes?,Intermission,Commission,Break,Entertainment,3,375,en,es,machine_translated,El intermedio dura quince minutos.,¿Qué dura quince minutos?,Descanso,Comisión,Romper
The gallery features modern art.,Gallery,/g/,What features modern art?,Gallery,Salary,Museum,Entertainment,2,376,en,es,machine_translated,La galería presenta arte moderno.,¿Qué caracteriza al arte moderno?,Galería,Salario,Museo
The comedian told jokes all night.,Comedian,/k/,Who told jokes?,Comedian,Canadian,Performer,Entertainment,2,377,en,es,machine_translated,El comediante contó chistes toda la noche.,¿Quién contaba chistes?,Cómico,canadiense,Ejecutante
The audience applauded loudly.,Applauded,/ɑ/,What did the audience do?,Applauded,Applauding,Clapped,Entertainment,2,378,en,es,machine_translated,El público aplaudió ruidosamente.,¿Qué hizo la audiencia?,Aplaudido,Aplaudiendo,Aplaudió
The show received a standing ovation.,Ovation,/o/,What did the show receive?,Ovation,Vacation,Applause,Entertainment,3,379,en,es,machine_translated,El espectáculo recibió una gran ovación.,¿Qué recibió el programa?,Ovación,Vacaciones,Aplausos
The premiere is scheduled for Friday.,Premiere,/pr/,What is scheduled?,Premiere,Premier,Opening,Entertainment,3,380,en,es,machine_translated,El estreno está previsto para el viernes.,¿Qué está programado?,Estreno,Primer ministro,Apertura
The actor delivered a powerful performance.,Actor,/æ/,Who delivered the performance?,Actor,Factor,Performer,Entertainment,2,381,en,es,machine_translated,El actor realizó una actuación impactante.,¿Quién realizó la actuación?,Actor,Factor,Ejecutante
The stadium holds fifty thousand people.,Stadium,/st/,What holds fifty thousand?,Stadium,Stage,Arena,Entertainment,3,382,en,es,machine_translated,El estadio tiene capacidad para cincuenta mil personas.,¿Qué valen cincuenta mil?,Estadio,Escenario,Arena
The playlist includes my favorite songs.,Playlist,/p/,What includes my favorites?,Playlist,Play list,Music,Entertainment,2,383,en,es,clinically_reviewed,La lista de reproducción incluye mis canciones favoritas.,¿Qué incluye mis canciones favoritas?,La lista de reproducción,La lista de producción,La biblioteca musical
The volume is too loud.,Volume,/v/,What is too loud?,Volume,Column,Sound,Technology,1,384,en,es,machine_translated,El volumen es demasiado alto.,¿Qué es demasiado ruidoso?,Volumen,Columna,Sonido
The software needs an update.,Software,/s/,What needs an update?,Software,Soft wear,Program,Technology,2,385,en,es,machine_translated,El software necesita una actualización.,¿Qué necesita una actualización?,Software,Desgaste suave,Programa
The password must contain numbers.,Password,/p/,What must contain numbers?,Password,Pass word,Code,Technology,2,386,en,es,clinically_reviewed,La contraseña debe contener números.,¿Qué debe contener números?,La clave,La clase,El usuario
The download will take ten minutes.,Download,/d/,What will take ten minutes?,Download,Down load,Transfer,Technology,2,387,en,es,clinically_reviewed,La descarga tardará diez minutos.,¿Qué tardará diez minutos?,La descarga,La recarga,La instalación
The website crashed this morning.,Website,/w/,What crashed?,Website,Web site,Page,Technology,2,388,en,es,clinically_reviewed,El sitio web colapsó esta mañana.,¿Qué se cayó esta mañana?,La página,La paga,La aplicación
The app requires your permission.,Permission,/p/,What does the app require?,Permission,Admission,Approval,Technology,2,389,en,es,machine_translated,La aplicación requiere su permiso.,¿Qué requiere la aplicación?,Permiso,Admisión,Aprobación
The battery life is excellent.,Battery,/b/,What is excellent?,Battery,Flattery,Power,Technology,2,390,en,es,machine_translated,La duración de la batería es excelente.,¿Qué es excelente?,Batería,Adulación,Fuerza
The screen resolution is very sharp.,Resolution,/r/,What is very sharp?,Resolution,Revolution,Quality,Technology,3,391,en,es,machine_translated,La resolución de la pantalla es muy nítida.,¿Qué es muy agudo?,Resolución,Revolución,Calidad
The keyboard shortcuts save time.,Shortcuts,/ʃ/,What saves time?,Shortcuts,Short cuts,Keys,Technology,2,392,en,es,clinically_reviewed,Los atajos de teclado ahorran tiempo.,¿Qué ahorra tiempo?,Los atajos de teclado,Los teclados,Los comandos
The file size is too large.,Size,/s/,What is too large?,Size,Rise,Amount,Technology,1,393,en,es,machine_translated,El tamaño del archivo es demasiado grande.,¿Qué es demasiado grande?,Tamaño,Elevar,Cantidad
The network is experiencing issues.,Network,/n/,What is experiencing issues?,Network,Net work,System,Technology,2,394,en,es,clinically_reviewed,La red está experimentando problemas.,¿Qué está experimentando problemas?,La red,La sed,El sistema
The cursor moves too slowly.,Cursor,/k/,What moves slowly?,Cursor,Curser,Pointer,Technology,2,395,en,es,clinically_reviewed,El cursor se mueve demasiado lento.,¿Qué se mueve lentamente?,El cursor,El curso,El puntero
The settings menu is easy to find.,Settings,/s/,What is easy to find?,Settings,Sittings,Options,Technology,2,396,en,es,machine_translated,El menú de configuración es fácil de encontrar.,¿Qué es fácil de encontrar?,Ajustes,Sesiones,Opciones
The browser keeps freezing.,Browser,/br/,What keeps freezing?,Browser,Rouse,Program,Technology,2,397,en,es,machine_translated,El navegador sigue congelando.,¿Qué sigue congelando?,Navegador,Despertar,Programa
The headphones have good sound quality.,Headphones,/h/,What has good quality?,Headphones,Head phones,Earbuds,Technology,2,398,en,es,clinically_reviewed,Los auriculares tienen buena calidad de sonido.,¿Qué tiene buena calidad?,Los cascos,Los casos,Los altavoces
The data backup runs automatically.,Backup,/b/,What runs automatically?,Backup,Back up,Copy,Technology,2,399,en,es,clinically_reviewed,La copia de seguridad de los datos se ejecuta automáticamente.,¿Qué se ejecuta automáticamente?,El respaldo,El resguardo,La copia
The touchscreen is very responsive.,Touchscreen,/t/,What is responsive?,Touchscreen,Touch screen,Display,Technology,2,400,en,es,clinically_reviewed,La pantalla táctil responde muy bien.,¿Qué responde muy bien?,La pantalla,La plantilla,El monitor
The microphone is not working.,Microphone,/m/,What is not working?,Microphone,Mike,Audio device,Technology,2,401,en,es,machine_translated,El micrófono no funciona.,¿Qué no funciona?,Micrófono,Micro,Dispositivo de audio
The webcam quality could be better.,Webcam,/w/,What could be better?,Webcam,Web cam,Camera,Technology,2,402,en,es,clinically_reviewed,La calidad de la cámara web podría ser mejor.,¿Qué podría verse mejor?,La imagen,La página,El sonido
The storage space is almost full.,Storage,/st/,What is almost full?,Storage,Shortage,Space,Technology,2,403,en,es,machine_translated,El espacio de almacenamiento está casi lleno.,¿Qué está casi lleno?,Almacenamiento,Escasez,Espacio
The flight departs at noon.,Departs,/d/,When does the flight leave?,Departs,The parts,Leaves,Travel,2,404,en,es,machine_translated,El vuelo sale al mediodía.,¿Cuándo sale el vuelo?,Sale,las partes,Hojas
The luggage carousel is downstairs.,Carousel,/k/,Where is the luggage?,Carousel,Carol sell,Conveyor,Travel,3,405,en,es,machine_translated,La cinta transportadora de equipaje está abajo.,¿Dónde está el equipaje?,Carrusel,caroll vender,Transportador
The boarding pass is on my phone.,Boarding,/b/,What is on my phone?,Boarding,Hoarding,Pass,Travel,2,406,en,es,machine_translated,La tarjeta de embarque está en mi teléfono.,¿Qué hay en mi teléfono?,Embarque,Acaparamiento,Aprobar
The customs line is very long.,Customs,/k/,What is very long?,Customs,Customer,Immigration,Travel,2,407,en,es,machine_translated,La cola en la aduana es muy larga.,¿Qué es muy largo?,Aduanas,Cliente,Inmigración
The cruise ship docks at seven.,Docks,/d/,When does the ship arrive?,Docks,Rocks,Arrives,Travel,2,408,en,es,machine_translated,El crucero atraca a las siete.,¿Cuándo llega el barco?,Muelles,rocas,Llega
The rental car is in lot B.,Rental,/r/,Where is the car?,Rental,Dental,Lot,Travel,2,409,en,es,machine_translated,El coche de alquiler está en el lote B.,¿Dónde está el coche?,Alquiler,Dental,Lote
The passport needs to be renewed.,Passport,/p/,What needs renewing?,Passport,Pass port,Document,Travel,2,410,en,es,machine_translated,Es necesario renovar el pasaporte.,¿Qué necesita renovarse?,Pasaporte,Puerto de paso,Documento
The turbulence was unexpected.,Turbulence,/t/,What was unexpected?,Turbulence,Turbo lens,Rough air,Travel,3,411,en,es,machine_translated,La turbulencia fue inesperada.,¿Qué fue inesperado?,Turbulencia,lente turbo,aire áspero
The layover is three hours long.,Layover,/l/,How long is the layover?,Layover,Lay over,Wait,Travel,2,412,en,es,machine_translated,La escala tiene una duración de tres horas.,¿Cuánto dura la escala?,Escala,Descansar,Esperar
The terminal is very crowded today.,Terminal,/t/,What is crowded?,Terminal,Eternal,Building,Travel,2,413,en,es,machine_translated,La terminal está muy concurrida hoy.,¿Qué está lleno de gente?,Terminal,Eterno,Edificio
The baggage claim is on level one.,Baggage,/b/,What is on level one?,Baggage,Cabbage,Luggage,Travel,2,414,en,es,clinically_reviewed,El reclamo de equipaje está en el nivel uno.,¿Qué hay en el nivel uno?,equipaje,Repollo,Aduana
The security checkpoint is ahead.,Checkpoint,/ch/,What is ahead?,Checkpoint,Check point,Security,Travel,2,415,en,es,machine_translated,El control de seguridad está más adelante.,¿Qué hay por delante?,Control,punto de control,Seguridad
The seatbelt sign is illuminated.,Seatbelt,/s/,What is illuminated?,Seatbelt,Seat belt,Sign,Travel,2,416,en,es,machine_translated,La señal del cinturón de seguridad está iluminada.,¿Qué está iluminado?,cinturón de seguridad,Cinturón de seguridad,Firmar
The departure gate has changed.,Departure,/d/,What has changed?,Departure,The parture,Gate,Travel,2,417,en,es,machine_translated,La puerta de salida ha cambiado.,¿Qué ha cambiado?,Partida,la despedida,Puerta
The itinerary includes three cities.,Itinerary,/ɪ/,What includes three cities?,Itinerary,Literary,Plan,Travel,3,418,en,es,machine_translated,El itinerario incluye tres ciudades.,¿Qué incluye tres ciudades?,Itinerario,Literario,Plan
The connecting flight leaves soon.,Connecting,/k/,What leaves soon?,Connecting,Collecting,Flight,Travel,2,419,en,es,machine_translated,El vuelo de conexión sale pronto.,¿Qué se va pronto?,Conectando,Coleccionando,Vuelo
The overhead bin is full.,Overhead,/o/,What is full?,Overhead,Over head,Compartment,Travel,2,420,en,es,machine_translated,El compartimento superior está lleno.,¿Qué está lleno?,Arriba,Sobre la cabeza,Compartimiento
The vaccination record is required.,Vaccination,/v/,What is required?,Vaccination,Vacation,Record,Travel,3,421,en,es,machine_translated,Se requiere el cartilla de vacunación.,¿Qué se requiere?,Vacunación,Vacaciones,Registro
The currency exchange rate is favorable.,Currency,/k/,What is favorable?,Currency,Currentsy,Money rate,Travel,3,422,en,es,machine_translated,El tipo de cambio de moneda es favorable.,¿Qué es favorable?,Divisa,actual,tasa de dinero
The travel insurance covers delays.,Insurance,/ʃ/,What covers delays?,Insurance,Assurance,Protection,Travel,3,423,en,es,machine_translated,El seguro de viaje cubre retrasos.,¿Qué cubre los retrasos?,Seguro,Garantía,Protección
The commute takes forty five minutes.,Commute,/k/,How long does it take?,Commute,Compute,Travel,Transportation,2,424,en,es,machine_translated,El trayecto dura cuarenta y cinco minutos.,¿Cuánto tiempo se tarda?,Desplazarse,Calcular,Viajar
The traffic is heavy this morning.,Traffic,/tr/,What is heavy?,Traffic,Tragic,Cars,Transportation,1,425,en,es,machine_translated,El tráfico está denso esta mañana.,¿Qué es pesado?,Tráfico,Trágico,Coches
The subway runs every five minutes.,Subway,/s/,What runs often?,Subway,Sub way,Train,Transportation,2,426,en,es,machine_translated,El metro pasa cada cinco minutos.,¿Qué se ejecuta con frecuencia?,Metro,Metro,Tren
The bus stop is on the corner.,Bus,/b/,Where is the stop?,Bus,Plus,Vehicle,Transportation,1,427,en,es,machine_translated,La parada de autobús está en la esquina.,¿Dónde está la parada?,Autobús,Más,Vehículo
The parking meter expires soon.,Meter,/m/,What expires?,Meter,Eater,Timer,Transportation,2,428,en,es,machine_translated,El parquímetro caduca pronto.,¿Qué caduca?,Metro,Tener siempre buen apetito,Minutero
The toll booth is one mile ahead.,Toll,/t/,What is ahead?,Toll,Tall,Booth,Transportation,2,429,en,es,machine_translated,El peaje está a una milla más adelante.,¿Qué hay por delante?,Peaje,Alto,Puesto
The carpool lane saves time.,Carpool,/k/,What saves time?,Carpool,Car pool,Lane,Transportation,2,430,en,es,machine_translated,El carril compartido ahorra tiempo.,¿Qué ahorra tiempo?,Compartir coche,Coche compartido,carril
The bridge is closed for repairs.,Bridge,/br/,What is closed?,Bridge,Ridge,Overpass,Transportation,2,431,en,es,machine_translated,El puente está cerrado por reparaciones.,¿Qué está cerrado?,Puente,Cresta,Paso superior
The ferry departs from pier twelve.,Ferry,/f/,What departs?,Ferry,Merry,Boat,Transportation,2,432,en,es,machine_translated,El ferry sale del muelle doce.,¿Qué parte?,Transportar,Alegre,Bote
The bike lane is on the right.,Bike,/b/,What is on the right?,Bike,Like,Lane,Transportation,1,433,en,es,machine_translated,El carril bici está a la derecha.,¿Qué hay a la derecha?,Bicicleta,Como,carril
The gas station is at the next exit.,Station,/st/,What is at the exit?,Station,Stationed,Stop,Transportation,2,434,en,es,machine_translated,La gasolinera está en la siguiente salida.,¿Qué hay a la salida?,Estación,Estacionado,Detener
The train schedule changed recently.,Schedule,/sk/,What changed?,Schedule,Scheduled,Timetable,Transportation,2,435,en,es,machine_translated,El horario del tren cambió recientemente.,¿Qué cambió?,Cronograma,Programado,Calendario
The crosswalk light just turned green.,Crosswalk,/kr/,What turned green?,Crosswalk,Cross walk,Light,Transportation,2,436,en,es,machine_translated,El semáforo del paso de peatones acaba de ponerse verde.,¿Qué se volvió verde?,Paso de peatones,paso de peatones,Luz
The speed limit is thirty five.,Speed,/sp/,What is thirty five?,Speed,Seed,Limit,Transportation,1,437,en,es,machine_translated,El límite de velocidad es treinta y cinco.,¿Cuánto es treinta y cinco?,Velocidad,Semilla,Límite
The intersection is very busy.,Intersection,/ɪ/,What is busy?,Intersection,Inner section,Crossing,Transportation,3,438,en,es,machine_translated,El cruce está muy transitado.,¿Qué está ocupado?,Intersección,Sección interior,Cruce
The taxi fare is fifteen dollars.,Fare,/f/,What is fifteen dollars?,Fare,Fair,Cost,Transportation,2,439,en,es,machine_translated,El precio del taxi es de quince dólares.,¿Qué son quince dólares?,Tarifa,Justo,Costo
The shuttle runs to the airport.,Shuttle,/ʃ/,What runs to the airport?,Shuttle,Subtle,Bus,Transportation,2,440,en,es,machine_translated,El servicio de transporte va al aeropuerto.,¿Qué va al aeropuerto?,Lanzadera,Sutil,Autobús
The highway is under construction.,Highway,/h/,What is under construction?,Highway,High way,Road,Transportation,2,441,en,es,machine_translated,La carretera está en construcción.,¿Qué hay en construcción?,Carretera,Carretera,Camino
The rideshare pickup is downstairs.,Rideshare,/r/,What is downstairs?,Rideshare,Ride share,Pickup,Transportation,2,442,en,es,machine_translated,La recogida en el viaje compartido está abajo.,¿Qué hay abajo?,Viaje compartido,viaje compartido,Levantar
The pedestrian bridge is safer.,Pedestrian,/p/,What is safer?,Pedestrian,Equestrian,Bridge,Transportation,2,443,en,es,machine_translated,El puente peatonal es más seguro.,¿Qué es más seguro?,Peatonal,Ecuestre,Puente
The student passed the exam.,Passed,/p/,What did the student do?,Passed,Past,Succeeded,Education,1,444,en,es,machine_translated,El estudiante aprobó el examen.,¿Qué hizo el estudiante?,Aprobado,Pasado,Tuvo éxito
The homework is due tomorrow.,Homework,/h/,What is due?,Homework,Home work,Assignment,Education,1,445,en,es,machine_translated,La tarea debe entregarse mañana.,¿A qué se debe?,Tarea,Tarea,Asignación
The textbook costs fifty dollars.,Textbook,/t/,What costs fifty dollars?,Textbook,Text book,Book,Education,2,446,en,es,machine_translated,El libro de texto cuesta cincuenta dólares.,¿Qué cuesta cincuenta dólares?,Libro de texto,libro de texto,Libro
The professor cancelled class today.,Professor,/pr/,Who cancelled class?,Professor,Professor,Teacher,Education,2,447,en,es,machine_translated,El profesor canceló la clase hoy.,¿Quién canceló la clase?,Profesor,Profesor,Maestro
The scholarship covers tuition.,Scholarship,/sk/,What covers tuition?,Scholarship,Scholarships,Award,Education,3,448,en,es,machine_translated,La beca cubre la matrícula.,¿Qué cubre la matrícula?,Beca,Becas,Otorgar
The library closes at midnight.,Library,/l/,What closes at midnight?,Library,Lie berry,Building,Education,2,449,en,es,machine_translated,La biblioteca cierra a medianoche.,¿Qué cierra a medianoche?,Biblioteca,baya de mentira,Edificio
The semester ends in December.,Semester,/s/,When does it end?,Semester,Trimester,Term,Education,2,450,en,es,machine_translated,El semestre termina en diciembre.,¿Cuándo termina?,Semestre,Trimestre,Término
The diploma arrived by mail.,Diploma,/d/,What arrived?,Diploma,The ploma,Certificate,Education,2,451,en,es,machine_translated,El diploma llegó por correo.,¿Qué llegó?,Diploma,la ploma,Certificado
The lecture hall seats two hundred.,Lecture,/l/,What seats two hundred?,Lecture,Lector,Hall,Education,2,452,en,es,machine_translated,La sala de conferencias tiene capacidad para doscientas personas.,¿Qué tiene capacidad para doscientos?,Conferencia,Lector,Sala
