id,category,prompt_text_en,response_text_en,target_keyword_en,target_phoneme,acoustic_foil_en,semantic_foil_en,plausible_foil_en,difficulty,tier,source_row_id,source_language,target_language,translation_status,prompt_text_es,response_text_es,target_keyword_es,acoustic_foil_es,semantic_foil_es,plausible_foil_es
conv_097,directions,Which way to the train station?,Go straight for two blocks then turn right on Seventh.,Seventh,/s/,Eleventh,the next street,the main road,2,1,conv_097,en,es,machine_translated,¿Qué camino a la estación de tren?,Siga recto durante dos cuadras y luego gire a la derecha en Seventh.,Séptimo,Undécimo,la siguiente calle,la carretera principal
conv_098,directions,Can you tell me where the library is?,It's across the street from the church on Maple.,church on Maple,/tʃ/,church on Main,the big building,right around here,3,2,conv_098,en,es,machine_translated,¿Puedes decirme dónde está la biblioteca?,Está al otro lado de la calle de la iglesia en Maple.,iglesia en arce,iglesia en principal,el gran edificio,justo por aquí
conv_099,directions,I'm lost. Where is Cherry Lane?,Take your third right after the traffic light.,third right,/θ/,first right,next turn,second left,2,2,conv_099,en,es,machine_translated,Estoy perdido. ¿Dónde está Cherry Lane?,Tome la tercera a la derecha después del semáforo.,tercera derecha,primera a la derecha,siguiente turno,segundo a la izquierda
conv_100,directions,How far is the airport from here?,About thirty-five minutes on the highway.,thirty-five minutes,/θ/,twenty-five minutes,half an hour,depends on traffic,3,2,conv_100,en,es,machine_translated,¿A qué distancia está el aeropuerto de aquí?,Unos treinta y cinco minutos por carretera.,treinta y cinco minutos,veinticinco minutos,media hora,depende del trafico
conv_101,directions,Where's the closest gas station?,There's a Shell station about a mile south.,Shell station,/ʃ/,cell station,fuel stop,service center,2,1,conv_101,en,es,machine_translated,¿Dónde está la gasolinera más cercana?,Hay una estación Shell a un kilómetro y medio al sur.,Estación de concha,estación celular,parada de combustible,centro de servicio
conv_102,directions,Do I stay on this road?,"No, merge onto the freeway at exit fourteen.",exit fourteen,/f/,exit forty,the next ramp,keep going straight,3,2,conv_102,en,es,machine_translated,¿Me quedo en este camino?,"No, incorpórese a la autopista en la salida catorce.",salida catorce,salida cuarenta,la siguiente rampa,sigue recto
conv_103,directions,Which floor is the dentist on?,"The sixth floor, suite six twelve.",sixth floor,/s/,fifth floor,top floor,second floor,2,2,conv_103,en,es,machine_translated,¿En qué piso está el dentista?,"El sexto piso, suite seis doce.",sexto piso,quinto piso,último piso,segundo piso
conv_104,directions,Is there a shortcut to avoid traffic?,"Yes, take Chester Avenue instead of the highway.",Chester Avenue,/tʃ/,Lester Avenue,the side streets,the back road,3,3,conv_104,en,es,machine_translated,¿Existe algún atajo para evitar el tráfico?,"Sí, tome Chester Avenue en lugar de la autopista.",Avenida Chester,Avenida Lester,las calles laterales,el camino de regreso
conv_105,shopping,Do you have this shirt in a medium?,Let me check. We might have one in the shipment.,shipment,/ʃ/,basement,delivery,warehouse,3,2,conv_105,en,es,machine_translated,¿Tienes esta camisa en un tamaño mediano?,Permítame verificar. Es posible que tengamos uno en el envío.,envío,sótano,entrega,depósito
conv_106,shopping,What time do you open on Saturdays?,We open at eight thirty in the morning.,eight thirty,/θ/,eight fifteen,nine o'clock,the usual time,2,1,conv_106,en,es,machine_translated,¿A qué hora abren los sábados?,Abrimos a las ocho y media de la mañana.,ocho y media,ocho quince,nueve en punto,el tiempo habitual
conv_107,shopping,Is there a warranty on this?,"Yes, a two-year manufacturer's warranty.",manufacturer's,/f/,distributor's,store,extended,3,3,conv_107,en,es,machine_translated,¿Hay garantía sobre esto?,"Sí, una garantía del fabricante de dos años.",del fabricante,distribuidor,almacenar,extendido
conv_108,shopping,Can I get this gift-wrapped?,"Sure, that'll be an extra three fifty.",three fifty,/θ/,four fifty,a small fee,no charge,2,1,conv_108,en,es,machine_translated,¿Puedo envolverlo para regalo?,"Claro, serán tres cincuenta extra.",tres cincuenta,cuatro cincuenta,una pequeña tarifa,sin cargo
conv_109,shopping,Where are your fresh vegetables?,In the produce section near the front entrance.,front entrance,/f/,back entrance,by the deli,aisle three,2,2,conv_109,en,es,machine_translated,¿Dónde están tus verduras frescas?,En la sección de productos agrícolas cerca de la entrada principal.,entrada principal,entrada trasera,por la tienda de delicatessen,pasillo tres
conv_110,shopping,Do you price match other stores?,"Yes, bring in their flyer and we'll match it.",flyer,/f/,buyer,ad,coupon,2,2,conv_110,en,es,machine_translated,¿Sus precios coinciden con los de otras tiendas?,"Sí, trae su folleto y lo igualaremos.",volantes,comprador,anuncio,cupón
conv_111,shopping,Is this the checkout line?,"No, this line is for customer service only.",customer service,/s/,self-checkout,returns,exchanges,2,1,conv_111,en,es,machine_translated,¿Es esta la fila para pagar?,"No, esta línea es sólo para servicio al cliente.",servicio al cliente,autopago,regresa,intercambios
conv_112,shopping,Can I use this coupon with the sale?,"Sorry, those discounts can't be combined.",combined,/k/,applied,stacked,transferred,3,3,conv_112,en,es,machine_translated,¿Puedo usar este cupón con la oferta?,"Lo sentimos, esos descuentos no se pueden combinar.",conjunto,aplicado,apilados,transferido
conv_113,dining,Do you have a table for four?,"Yes, there's one available by the window.",by the window,/w/,by the kitchen,in the corner,near the bar,2,1,conv_113,en,es,machine_translated,¿Tienes una mesa para cuatro?,"Sí, hay uno disponible junto a la ventana.",por la ventana,por la cocina,en la esquina,cerca de la barra
conv_114,dining,What's today's special?,Grilled salmon with roasted vegetables and rice.,salmon,/s/,walnut,trout,chicken,2,1,conv_114,en,es,machine_translated,¿Cuál es el especial de hoy?,Salmón a la plancha con verduras asadas y arroz.,salmón,nuez,trucha,pollo
conv_115,dining,Are there any gluten-free options?,"Yes, the chef can prepare the chicken dish without flour.",without flour,/f/,without flavor,no bread,as a substitute,3,2,conv_115,en,es,machine_translated,¿Existen opciones sin gluten?,"Sí, el chef puede preparar el plato de pollo sin harina.",sin harina,sin sabor,sin pan,como sustituto
conv_116,dining,How spicy is the Thai curry?,It's fairly mild unless you request extra chili.,extra chili,/tʃ/,extra chilly,more heat,a kick,3,2,conv_116,en,es,machine_translated,¿Qué tan picante es el curry tailandés?,Es bastante suave a menos que solicites más chile.,chile extra,extra frio,mas calor,una patada
conv_117,dining,Can we get separate checks?,"Of course, I'll split them for you at the end.",split them,/s/,print them,add them up,bring them,2,2,conv_117,en,es,machine_translated,¿Podemos obtener cheques separados?,"Por supuesto, te los dividiré al final.",dividirlos,imprimirlos,sumarlos,tráelos
conv_118,dining,What do you recommend for dessert?,The chocolate souffle is our most popular choice.,souffle,/s/,parfait,cake,pie,3,3,conv_118,en,es,machine_translated,¿Qué recomiendas de postre?,El soufflé de chocolate es nuestra opción más popular.,soufflé,parfait,pastel,pastel
conv_119,dining,Is there a wait for brunch?,About a thirty-minute wait right now.,thirty-minute,/θ/,thirteen-minute,short,long,2,1,conv_119,en,es,machine_translated,¿Hay que esperar para el brunch?,Ahora mismo hay que esperar unos treinta minutos.,treinta minutos,trece minutos,corto,largo
conv_120,dining,Does this dish contain shellfish?,"Yes, it has shrimp and crab in the sauce.",shrimp and crab,/ʃ/,fish and crab,lobster,mussels,3,2,conv_120,en,es,machine_translated,¿Este plato contiene mariscos?,"Sí, tiene camarones y cangrejo en la salsa.",camarones y cangrejo,pescado y cangrejo,langosta,mejillones
conv_121,health,How are you feeling after the procedure?,Still a bit sore but much better than before.,sore,/s/,more,achy,tired,2,1,conv_121,en,es,machine_translated,¿Cómo te sientes después del procedimiento?,Todavía me duele un poco pero mucho mejor que antes.,doloroso,más,dolorido,cansado
conv_122,health,Did you take your vitamins this morning?,"Yes, I took them right after breakfast.",after breakfast,/f/,before breakfast,with lunch,on an empty stomach,2,1,conv_122,en,es,machine_translated,¿Tomaste tus vitaminas esta mañana?,"Sí, los tomé justo después del desayuno.",despues del desayuno,antes del desayuno,con almuerzo,con el estómago vacío
conv_123,health,How often should I stretch?,At least three times a week for thirty minutes.,three times,/θ/,two times,daily,once a week,2,2,conv_123,en,es,machine_translated,¿Con qué frecuencia debo estirarme?,Al menos tres veces por semana durante treinta minutos.,tres veces,dos veces,a diario,una vez a la semana
conv_124,health,What exercises help with balance?,Tai chi and gentle stretching are very effective.,stretching,/tʃ/,sketching,yoga,walking,3,2,conv_124,en,es,machine_translated,¿Qué ejercicios ayudan con el equilibrio?,El Tai Chi y los estiramientos suaves son muy eficaces.,extensión,dibujando,yoga,caminando
conv_125,health,Should I ice or heat my shoulder?,Use ice for the first forty-eight hours.,forty-eight hours,/f/,twenty-four hours,couple of days,until it feels better,3,2,conv_125,en,es,machine_translated,¿Debo poner hielo o calentar mi hombro?,Utilice hielo durante las primeras cuarenta y ocho horas.,cuarenta y ocho horas,veinticuatro horas,dos días,hasta que se sienta mejor
conv_126,health,When is my follow-up visit?,It's scheduled for Thursday the fifteenth.,Thursday the fifteenth,/θ/,Tuesday the thirteenth,next week,in two weeks,3,2,conv_126,en,es,machine_translated,¿Cuándo es mi visita de seguimiento?,Está previsto para el jueves quince.,jueves quince,martes trece,la próxima semana,en dos semanas
conv_127,health,Is it safe to go swimming yet?,Wait until the stitches dissolve completely.,stitches dissolve,/s/,splints come off,wound closes,swelling goes down,3,3,conv_127,en,es,machine_translated,¿Es seguro ir a nadar todavía?,Espere hasta que los puntos se disuelvan por completo.,los puntos se disuelven,se desprenden las férulas,la herida se cierra,la hinchazón baja
conv_128,health,What should I eat to feel more energized?,Focus on whole grains and fresh fruit for sustained energy.,fresh fruit,/f/,less food,vegetables,protein,3,3,conv_128,en,es,machine_translated,¿Qué debo comer para sentirme con más energía?,Concéntrese en cereales integrales y fruta fresca para obtener energía sostenida.,fruta fresca,menos comida,verduras,proteína
conv_129,weather,What's the forecast for the weekend?,They're calling for sunshine and temperatures in the seventies.,seventies,/s/,sixties,warm weather,high eighties,2,1,conv_129,en,es,machine_translated,¿Cuál es el pronóstico para el fin de semana?,Piden sol y temperaturas de 70 grados.,setenta,sesenta,clima cálido,altos ochenta
conv_130,weather,Do I need an umbrella today?,"Yes, there's a chance of showers this afternoon.",showers,/ʃ/,flowers,drizzle,thunderstorms,2,1,conv_130,en,es,machine_translated,¿Necesito un paraguas hoy?,"Sí, hay posibilidades de lluvias esta tarde.",duchas,flores,llovizna,tormentas eléctricas
conv_131,weather,How cold is it supposed to get tonight?,Down to about thirty-three degrees with frost.,thirty-three,/θ/,twenty-three,below freezing,pretty cold,2,2,conv_131,en,es,machine_translated,¿Cuánto frío se supone que hará esta noche?,Hasta unos treinta y tres grados con heladas.,treinta y tres,veintitrés,bajo cero,bastante frio
conv_132,weather,Is the heat wave going to continue?,Forecasters say it should break by Thursday.,break by Thursday,/θ/,peak by Tuesday,last all week,cool off soon,3,2,conv_132,en,es,machine_translated,¿Continuará la ola de calor?,Los meteorólogos dicen que debería romperse el jueves.,descanso para el jueves,pico el martes,dura toda la semana,refréscate pronto
conv_133,weather,Was there any damage from the storm?,A few trees fell on Chestnut Street.,Chestnut Street,/tʃ/,Crescent Street,the neighborhood,some houses,3,2,conv_133,en,es,machine_translated,¿Hubo algún daño por la tormenta?,Algunos árboles cayeron en Chestnut Street.,Calle Castaña,calle creciente,el barrio,algunas casas
conv_134,weather,Should we cancel the outdoor picnic?,Let's wait and check the forecast at noon.,forecast at noon,/f/,forecast by phone,weather report,radar first,3,2,conv_134,en,es,machine_translated,¿Deberíamos cancelar el picnic al aire libre?,Esperemos y consultemos el pronóstico al mediodía.,pronóstico al mediodía,pronóstico por teléfono,informe meteorológico,radar primero
conv_135,weather,How much snow did we get last night?,About six inches with more expected this evening.,six inches,/s/,six feet,a dusting,a lot,2,1,conv_135,en,es,machine_translated,¿Cuánta nieve cayó anoche?,Aproximadamente seis pulgadas y se esperan más esta noche.,seis pulgadas,seis pies,un polvo,mucho
conv_136,weather,Is it supposed to be this humid?,"Yes, the humidity is at ninety-three percent today.",ninety-three percent,/θ/,eighty-three percent,very high,above average,3,3,conv_136,en,es,machine_translated,¿Se supone que debe haber tanta humedad?,"Sí, hoy la humedad es del noventa y tres por ciento.",noventa y tres por ciento,ochenta y tres por ciento,muy alto,por encima del promedio
conv_137,travel,When does our flight depart?,The flight leaves at six fifteen from Terminal B.,six fifteen,/s/,seven fifteen,early morning,before dawn,2,1,conv_137,en,es,machine_translated,¿Cuándo sale nuestro vuelo?,El vuelo sale a las seis y cuarto de la Terminal B.,seis quince,siete quince,madrugada,antes del amanecer
conv_138,travel,Did you remember to pack the charger?,"Yes, it's in the front pocket of the suitcase.",front pocket,/f/,back pocket,side pouch,carry-on bag,2,1,conv_138,en,es,machine_translated,¿Recordaste empacar el cargador?,"Sí, está en el bolsillo delantero de la maleta.",bolsillo delantero,bolsillo trasero,bolsa lateral,bolso de mano
conv_139,travel,How long is the layover in Chicago?,About three and a half hours at O'Hare.,three and a half,/θ/,two and a half,a long time,enough time,3,2,conv_139,en,es,machine_translated,¿Cuánto dura la escala en Chicago?,Unas tres horas y media en O'Hare.,tres y medio,dos y medio,mucho tiempo,suficiente tiempo
conv_140,travel,Should we book the shuttle or take a taxi?,The shuttle is cheaper but takes forty-five minutes.,forty-five minutes,/f/,twenty-five minutes,much longer,about the same,3,2,conv_140,en,es,machine_translated,¿Deberíamos reservar el transporte o tomar un taxi?,El servicio de transporte es más barato pero tarda cuarenta y cinco minutos.,cuarenta y cinco minutos,veinticinco minutos,mucho más tiempo,casi lo mismo
conv_141,travel,What's the exchange rate right now?,About one thirty-five to the euro.,one thirty-five,/θ/,one forty-five,pretty favorable,about the same,3,3,conv_141,en,es,machine_translated,¿Cuál es el tipo de cambio en este momento?,Aproximadamente uno treinta y cinco por euro.,uno treinta y cinco,uno cuarenta y cinco,bastante favorable,casi lo mismo
conv_142,travel,Is our hotel near the beach?,"Yes, it's just a short walk from the shore.",shore,/ʃ/,store,ocean,boardwalk,2,2,conv_142,en,es,machine_translated,¿Está nuestro hotel cerca de la playa?,"Sí, está a pocos pasos de la orilla.",costa,almacenar,océano,paseo marítimo
conv_143,travel,Do we need a visa for this country?,"No, but your passport must be valid for six months.",six months,/s/,three months,at least a year,the whole trip,3,2,conv_143,en,es,machine_translated,¿Necesitamos una visa para este país?,"No, pero tu pasaporte debe tener una validez de seis meses.",seis meses,tres meses,al menos un año,todo el viaje
conv_144,travel,What time is checkout at the hotel?,"Checkout is at eleven sharp, but you can request a late one.",eleven sharp,/ʃ/,seven sharp,noon,in the morning,2,2,conv_144,en,es,machine_translated,¿A qué hora es el check-out en el hotel?,"La salida es a las once en punto, pero puedes solicitar una más tarde.",once en punto,siete en punto,mediodía,por la mañana
conv_145,work,When is the project deadline?,It's due next Friday the twenty-first.,twenty-first,/θ/,twenty-third,end of the month,next week,2,1,conv_145,en,es,machine_translated,¿Cuándo es la fecha límite del proyecto?,Será el próximo viernes veintiuno.,vigésimo primero,vigésimo tercero,fin de mes,la próxima semana
conv_146,work,Did you finish the quarterly report?,"Yes, I submitted it to Sharon this morning.",Sharon,/ʃ/,Karen,the manager,the director,2,1,conv_146,en,es,machine_translated,¿Terminaste el informe trimestral?,"Sí, se lo envié a Sharon esta mañana.",sharón,karen,el gerente,el director
conv_147,work,What time is the staff meeting?,It starts at three forty-five in Conference Room C.,three forty-five,/θ/,two forty-five,after lunch,this afternoon,2,2,conv_147,en,es,machine_translated,¿A qué hora es la reunión de personal?,Comienza a las tres cuarenta y cinco en la Sala C.,tres cuarenta y cinco,dos cuarenta y cinco,después del almuerzo,esta tarde
conv_148,work,Who's covering for me while I'm out?,Michelle from the Chicago office will fill in.,Michelle,/ʃ/,Rachel,your coworker,the temp,2,2,conv_148,en,es,machine_translated,¿Quién me cubre mientras estoy fuera?,Michelle de la oficina de Chicago la reemplazará.,michelle,raquel,tu compañero de trabajo,la temperatura
conv_149,work,Has the client responded to our proposal?,They said they'd get back to us by Thursday.,by Thursday,/θ/,by Tuesday,this week,very soon,2,2,conv_149,en,es,machine_translated,¿El cliente ha respondido a nuestra propuesta?,Dijeron que se comunicarían con nosotros el jueves.,para el jueves,por el martes,esta semana,muy pronto
conv_150,work,Can you send me the spreadsheet with the figures?,"Sure, I'll forward it to your work email within the hour.",within the hour,/θ/,by the hour,right away,when I can,3,2,conv_150,en,es,machine_translated,¿Puedes enviarme la hoja de cálculo con las cifras?,"Claro, lo reenviaré a tu correo electrónico del trabajo dentro de una hora.",dentro de la hora,por hora,de inmediato,cuando puedo
conv_151,work,Are we still on schedule for the launch?,We're slightly behind due to a software issue.,software issue,/s/,hardware issue,small delay,minor setback,3,3,conv_151,en,es,machine_translated,¿Estamos todavía dentro del plazo previsto para el lanzamiento?,Estamos un poco atrasados ​​debido a un problema de software.,problema de software,problema de hardware,pequeño retraso,contratiempo menor
conv_152,work,What was the outcome of the client pitch?,They chose our firm over three other finalists.,three other finalists,/θ/,two other finalists,the competition,some other firms,4,3,conv_152,en,es,machine_translated,¿Cuál fue el resultado de la presentación del cliente?,Eligieron nuestra firma entre otros tres finalistas.,otros tres finalistas,otros dos finalistas,la competencia,algunas otras firmas
conv_153,family,How's your daughter doing in school?,"She's thriving, especially in math and science.",thriving,/θ/,driving,excelling,improving,3,2,conv_153,en,es,machine_translated,¿Cómo le va a tu hija en la escuela?,"Está prosperando, especialmente en matemáticas y ciencias.",prosperando,conduciendo,sobresaliendo,mejorando
conv_154,family,When is your brother's birthday?,It's on the thirtieth of March.,thirtieth,/θ/,thirteenth,end of the month,sometime in spring,2,1,conv_154,en,es,machine_translated,¿Cuándo es el cumpleaños de tu hermano?,Es el treinta de marzo.,trigésimo,decimotercero,fin de mes,en algún momento de la primavera
conv_155,family,Are the kids coming for Thanksgiving?,"Yes, everyone will be there except my nephew Steven.",nephew Steven,/s/,nephew Stephen,youngest son,cousin,3,2,conv_155,en,es,machine_translated,¿Vienen los niños para el Día de Acción de Gracias?,"Sí, todos estarán allí excepto mi sobrino Steven.",sobrino esteban,sobrino esteban,hijo menor,primo
conv_156,family,How old is your granddaughter now?,She just turned four and a half in January.,four and a half,/f/,three and a half,almost five,still little,2,1,conv_156,en,es,machine_translated,¿Cuántos años tiene tu nieta ahora?,Acaba de cumplir cuatro años y medio en enero.,cuatro y medio,tres y medio,casi cinco,todavía poco
conv_157,family,Did your son finish his thesis?,"Yes, he defended it successfully last Thursday.",last Thursday,/θ/,last Tuesday,recently,a few weeks ago,3,2,conv_157,en,es,machine_translated,¿Tu hijo terminó su tesis?,"Sí, lo defendió con éxito el pasado jueves.",el jueves pasado,el martes pasado,recientemente,hace unas semanas
conv_158,family,Where does your sister live now?,She moved to a place on Birch Street in Philadelphia.,Philadelphia,/f/,Virginia,the East Coast,out of state,3,2,conv_158,en,es,machine_translated,¿Dónde vive tu hermana ahora?,Se mudó a un lugar en Birch Street en Filadelfia.,Filadelfia,Virginia,la costa este,fuera del estado
conv_159,family,Is your father still teaching?,"No, he officially retired in March after thirty-five years.",thirty-five years,/θ/,twenty-five years,a long career,quite some time,3,3,conv_159,en,es,machine_translated,¿Tu padre sigue enseñando?,"No, se jubiló oficialmente en marzo después de treinta y cinco años.",treinta y cinco años,veinticinco años,una larga carrera,bastante tiempo
conv_160,family,How's your mother feeling these days?,She's been much more cheerful since she joined the church choir.,church choir,/tʃ/,search party,singing group,book club,3,3,conv_160,en,es,machine_translated,¿Cómo se siente tu madre estos días?,Ha estado mucho más alegre desde que se unió al coro de la iglesia.,coro de la iglesia,grupo de búsqueda,grupo de canto,círculo de lectores
