sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
I need to charge my phone.,Charge,/ch/,What do I need to do?,Charge,Large,Power,Daily Life,1
The weather forecast calls for rain.,Forecast,/f/,What calls for rain?,Forecast,Forcast,Prediction,Daily Life,2
Please close the curtains.,Curtains,/k/,What should I close?,Curtains,Certain,Drapes,Daily Life,1
The toilet is running constantly.,Running,/r/,What is the toilet doing?,Running,Cunning,Flowing,Daily Life,2
I scheduled a service appointment.,Service,/s/,What did I schedule?,Service,Surface,Repair,Daily Life,2
The smoke detector needs new batteries.,Detector,/d/,What needs batteries?,Detector,Director,Alarm,Daily Life,2
Please fold the laundry.,Fold,/f/,What should I do?,Fold,Gold,Put away,Daily Life,1
The internet connection is slow.,Connection,/k/,What is slow?,Connection,Confession,Signal,Daily Life,2
I need to pay the electric bill.,Electric,/ɪ/,What bill do I need to pay?,Electric,Eclectic,Power,Daily Life,2
The calendar says today is the tenth.,Calendar,/k/,What says it is the tenth?,Calendar,Colander,Schedule,Daily Life,2
Please set the table for dinner.,Table,/t/,What should I set?,Table,Stable,Furniture,Daily Life,1
The faucet is dripping again.,Dripping,/dr/,What is the faucet doing?,Dripping,Tripping,Leaking,Daily Life,2
I forgot to buy milk at the store.,Milk,/m/,What did I forget to buy?,Milk,Silk,Dairy,Daily Life,1
The basement flooded last night.,Basement,/b/,What flooded?,Basement,Base meant,Downstairs,Daily Life,2
Please hang up your coat.,Coat,/k/,What should I hang up?,Coat,Goat,Jacket,Daily Life,1
The microwave just beeped.,Microwave,/m/,What beeped?,Microwave,Micro wave,Appliance,Daily Life,2
I need to take the dog for a walk.,Walk,/w/,What should I take the dog for?,Walk,Talk,Exercise,Daily Life,1
The heater is not working properly.,Heater,/h/,What is not working?,Heater,Eater,Furnace,Daily Life,2
Please wipe down the counter.,Counter,/k/,What should I wipe down?,Counter,Ounter,Surface,Daily Life,1
The window is stuck again.,Window,/w/,What is stuck?,Window,Wind oh,Glass,Daily Life,2
I scheduled an oil change for Saturday.,Oil,/ɔɪ/,What did I schedule?,Oil,Foil,Car service,Daily Life,2
The neighbors are having a party.,Neighbors,/n/,Who is having a party?,Neighbors,Labors,People nearby,Daily Life,1
Please unplug the appliances before leaving.,Appliances,/ɑ/,What should I unplug?,Appliances,Alliances,Machines,Daily Life,2
The ceiling fan wobbles slightly.,Ceiling,/s/,What wobbles?,Ceiling,Sealing,Fan,Daily Life,2
I need to organize my closet.,Closet,/k/,What do I need to organize?,Closet,Closed,Storage,Daily Life,2
The pipe under the sink is leaking.,Pipe,/p/,What is leaking?,Pipe,Ripe,Tube,Daily Life,2
Please adjust the blinds.,Blinds,/b/,What should I adjust?,Blinds,Winds,Window coverings,Daily Life,1
The answering machine has a message.,Answering,/æ/,What has a message?,Answering,Dancing,Machine,Daily Life,2
I lost my wallet somewhere.,Wallet,/w/,What did I lose?,Wallet,Mallet,Billfold,Daily Life,1
The air conditioner needs a filter change.,Filter,/f/,What needs changing?,Filter,Filler,Screen,Daily Life,2
Please sweep the porch.,Porch,/p/,What should I sweep?,Porch,Torch,Deck,Daily Life,1
The screen door has a hole in it.,Screen,/skr/,What has a hole?,Screen,Green,Door,Daily Life,2
I need to defrost the freezer.,Defrost,/d/,What do I need to do?,Defrost,Frost,Thaw,Daily Life,2
The washing machine makes a loud noise.,Washing,/w/,What makes noise?,Washing,Wishing,Appliance,Daily Life,2
Please check the expiration date.,Expiration,/ɛ/,What should I check?,Expiration,Aspiration,Date,Daily Life,3
The bookshelf needs to be dusted.,Bookshelf,/b/,What needs dusting?,Bookshelf,Book shelf,Furniture,Daily Life,2
I scheduled a plumber for Tuesday.,Plumber,/p/,Who did I schedule?,Plumber,Lumber,Repairman,Daily Life,2
The recycling bin is overflowing.,Recycling,/r/,What is overflowing?,Recycling,Bicycling,Bin,Daily Life,2
Please replace the shower curtain.,Curtain,/k/,What should I replace?,Curtain,Certain,Cover,Daily Life,2
The cable box needs to be reset.,Cable,/k/,What needs resetting?,Cable,Label,Box,Daily Life,2
I forgot to set my alarm last night.,Alarm,/ɑ/,What did I forget to set?,Alarm,Farm,Clock,Daily Life,1
The garden hose has a leak.,Hose,/h/,What has a leak?,Hose,Rose,Tube,Daily Life,2
Please organize the junk drawer.,Drawer,/dr/,What should I organize?,Drawer,Raw,Storage,Daily Life,2
The motion sensor light is broken.,Sensor,/s/,What is broken?,Sensor,Censor,Detector,Daily Life,2
I need to call the exterminator.,Exterminator,/ɛ/,Who do I need to call?,Exterminator,Terminator,Pest control,Daily Life,3
The driveway needs to be shoveled.,Driveway,/dr/,What needs shoveling?,Driveway,Drive way,Path,Daily Life,2
Please tighten the loose screw.,Screw,/skr/,What should I tighten?,Screw,Brew,Fastener,Daily Life,2
The roof is leaking in the corner.,Roof,/r/,What is leaking?,Roof,Proof,Top,Daily Life,2
I scheduled an electrician for Monday.,Electrician,/ɛ/,Who did I schedule?,Electrician,Politician,Repair person,Daily Life,3
The fireplace needs cleaning before winter.,Fireplace,/f/,What needs cleaning?,Fireplace,Fire place,Hearth,Daily Life,2
The children are playing outside.,Playing,/p/,What are the children doing?,Playing,Praying,Running,Outdoors,1
The garden needs more sunlight.,Sunlight,/s/,What does the garden need?,Sunlight,Sun light,Shade,Outdoors,2
The birds are singing this morning.,Singing,/s/,What are the birds doing?,Singing,Stinging,Chirping,Outdoors,1
The flowers bloomed early this year.,Bloomed,/b/,What did the flowers do?,Bloomed,Gloomed,Opened,Outdoors,2
I need to rake the leaves.,Rake,/r/,What do I need to do?,Rake,Lake,Gather,Outdoors,1
The sprinklers turn on at dawn.,Sprinklers,/spr/,What turns on at dawn?,Sprinklers,Sprinters,Watering,Outdoors,3
The fence needs a new coat of paint.,Fence,/f/,What needs paint?,Fence,Dense,Barrier,Outdoors,2
The picnic is planned for Sunday.,Picnic,/p/,What is planned?,Picnic,Panic,Outing,Outdoors,2
The trail leads to the waterfall.,Trail,/tr/,Where does the trail lead?,Trail,Rail,Path,Outdoors,2
The sunset was absolutely beautiful.,Sunset,/s/,What was beautiful?,Sunset,Sun set,Evening,Outdoors,2
The squirrels gathered the acorns.,Squirrels,/skw/,What gathered acorns?,Squirrels,Spirals,Animals,Outdoors,3
The breeze feels cool today.,Breeze,/br/,What feels cool?,Breeze,Trees,Wind,Outdoors,2
The pond has frozen over.,Frozen,/fr/,What has the pond done?,Frozen,Chosen,Iced,Outdoors,2
The hammock is hung between two trees.,Hammock,/h/,What is between two trees?,Hammock,Haddock,Swing,Outdoors,2
The fireflies came out at dusk.,Fireflies,/f/,What came out?,Fireflies,Butterflies,Bugs,Outdoors,2
The temperature dropped overnight.,Temperature,/t/,What dropped?,Temperature,Temperament,Weather,Outdoors,2
The mosquitoes are bad this summer.,Mosquitoes,/m/,What is bad this summer?,Mosquitoes,Toes,Insects,Outdoors,3
The grass is wet from the dew.,Dew,/d/,Why is the grass wet?,Dew,Do,Moisture,Outdoors,2
The storm knocked down several branches.,Branches,/br/,What was knocked down?,Branches,Ranches,Limbs,Outdoors,2
The shade under the tree is nice.,Shade,/ʃ/,What is nice?,Shade,Shape,Shadow,Outdoors,2
The concert starts at eight.,Concert,/k/,What starts at eight?,Concert,Consort,Show,Entertainment,2
The movie received excellent reviews.,Reviews,/r/,What did the movie receive?,Reviews,Remove,Ratings,Entertainment,2
The tickets sold out quickly.,Tickets,/t/,What sold out?,Tickets,Thickets,Passes,Entertainment,1
The band played until midnight.,Band,/b/,What played until midnight?,Band,Hand,Group,Entertainment,1
The performance was outstanding.,Performance,/p/,What was outstanding?,Performance,Conformance,Show,Entertainment,2
The theater is downtown.,Theater,/θ/,Where is the theater?,Theater,Beater,Building,Entertainment,2
The comedy show was hilarious.,Comedy,/k/,What kind of show?,Comedy,Commodity,Funny,Entertainment,2
The museum exhibit closes next month.,Exhibit,/ɛ/,What closes next month?,Exhibit,Inhibit,Display,Entertainment,3
The festival attracts thousands of visitors.,Festival,/f/,What attracts visitors?,Festival,Festal,Event,Entertainment,3
The documentary won several awards.,Documentary,/d/,What won awards?,Documentary,Momentary,Film,Entertainment,3
The seats are in the front row.,Seats,/s/,Where are the seats?,Seats,Beats,Chairs,Entertainment,1
The intermission lasts fifteen minutes.,Intermission,/ɪ/,What lasts fifteen minutes?,Intermission,Commission,Break,Entertainment,3
The gallery features modern art.,Gallery,/g/,What features modern art?,Gallery,Salary,Museum,Entertainment,2
The comedian told jokes all night.,Comedian,/k/,Who told jokes?,Comedian,Canadian,Performer,Entertainment,2
The audience applauded loudly.,Applauded,/ɑ/,What did the audience do?,Applauded,Applauding,Clapped,Entertainment,2
The show received a standing ovation.,Ovation,/o/,What did the show receive?,Ovation,Vacation,Applause,Entertainment,3
The premiere is scheduled for Friday.,Premiere,/pr/,What is scheduled?,Premiere,Premier,Opening,Entertainment,3
The actor delivered a powerful performance.,Actor,/æ/,Who delivered the performance?,Actor,Factor,Performer,Entertainment,2
The stadium holds fifty thousand people.,Stadium,/st/,What holds fifty thousand?,Stadium,Stage,Arena,Entertainment,3
The playlist includes my favorite songs.,Playlist,/p/,What includes my favorites?,Playlist,Play list,Music,Entertainment,2
The volume is too loud.,Volume,/v/,What is too loud?,Volume,Column,Sound,Technology,1
The software needs an update.,Software,/s/,What needs an update?,Software,Soft wear,Program,Technology,2
The password must contain numbers.,Password,/p/,What must contain numbers?,Password,Pass word,Code,Technology,2
The download will take ten minutes.,Download,/d/,What will take ten minutes?,Download,Down load,Transfer,Technology,2
The website crashed this morning.,Website,/w/,What crashed?,Website,Web site,Page,Technology,2
The app requires your permission.,Permission,/p/,What does the app require?,Permission,Admission,Approval,Technology,2
The battery life is excellent.,Battery,/b/,What is excellent?,Battery,Flattery,Power,Technology,2
The screen resolution is very sharp.,Resolution,/r/,What is very sharp?,Resolution,Revolution,Quality,Technology,3
The keyboard shortcuts save time.,Shortcuts,/ʃ/,What saves time?,Shortcuts,Short cuts,Keys,Technology,2
The file size is too large.,Size,/s/,What is too large?,Size,Rise,Amount,Technology,1
The network is experiencing issues.,Network,/n/,What is experiencing issues?,Network,Net work,System,Technology,2
The cursor moves too slowly.,Cursor,/k/,What moves slowly?,Cursor,Curser,Pointer,Technology,2
The settings menu is easy to find.,Settings,/s/,What is easy to find?,Settings,Sittings,Options,Technology,2
The browser keeps freezing.,Browser,/br/,What keeps freezing?,Browser,Rouse,Program,Technology,2
The headphones have good sound quality.,Headphones,/h/,What has good quality?,Headphones,Head phones,Earbuds,Technology,2
The data backup runs automatically.,Backup,/b/,What runs automatically?,Backup,Back up,Copy,Technology,2
The touchscreen is very responsive.,Touchscreen,/t/,What is responsive?,Touchscreen,Touch screen,Display,Technology,2
The microphone is not working.,Microphone,/m/,What is not working?,Microphone,Mike,Audio device,Technology,2
The webcam quality could be better.,Webcam,/w/,What could be better?,Webcam,Web cam,Camera,Technology,2
The storage space is almost full.,Storage,/st/,What is almost full?,Storage,Shortage,Space,Technology,2
The flight departs at noon.,Departs,/d/,When does the flight leave?,Departs,The parts,Leaves,Travel,2
The luggage carousel is downstairs.,Carousel,/k/,Where is the luggage?,Carousel,Carol sell,Conveyor,Travel,3
The boarding pass is on my phone.,Boarding,/b/,What is on my phone?,Boarding,Hoarding,Pass,Travel,2
The customs line is very long.,Customs,/k/,What is very long?,Customs,Customer,Immigration,Travel,2
The cruise ship docks at seven.,Docks,/d/,When does the ship arrive?,Docks,Rocks,Arrives,Travel,2
The rental car is in lot B.,Rental,/r/,Where is the car?,Rental,Dental,Lot,Travel,2
The passport needs to be renewed.,Passport,/p/,What needs renewing?,Passport,Pass port,Document,Travel,2
The turbulence was unexpected.,Turbulence,/t/,What was unexpected?,Turbulence,Turbo lens,Rough air,Travel,3
The layover is three hours long.,Layover,/l/,How long is the layover?,Layover,Lay over,Wait,Travel,2
The terminal is very crowded today.,Terminal,/t/,What is crowded?,Terminal,Eternal,Building,Travel,2
The baggage claim is on level one.,Baggage,/b/,What is on level one?,Baggage,Cabbage,Luggage,Travel,2
The security checkpoint is ahead.,Checkpoint,/ch/,What is ahead?,Checkpoint,Check point,Security,Travel,2
The seatbelt sign is illuminated.,Seatbelt,/s/,What is illuminated?,Seatbelt,Seat belt,Sign,Travel,2
The departure gate has changed.,Departure,/d/,What has changed?,Departure,The parture,Gate,Travel,2
The itinerary includes three cities.,Itinerary,/ɪ/,What includes three cities?,Itinerary,Literary,Plan,Travel,3
The connecting flight leaves soon.,Connecting,/k/,What leaves soon?,Connecting,Collecting,Flight,Travel,2
The overhead bin is full.,Overhead,/o/,What is full?,Overhead,Over head,Compartment,Travel,2
The vaccination record is required.,Vaccination,/v/,What is required?,Vaccination,Vacation,Record,Travel,3
The currency exchange rate is favorable.,Currency,/k/,What is favorable?,Currency,Currentsy,Money rate,Travel,3
The travel insurance covers delays.,Insurance,/ʃ/,What covers delays?,Insurance,Assurance,Protection,Travel,3
The commute takes forty five minutes.,Commute,/k/,How long does it take?,Commute,Compute,Travel,Transportation,2
The traffic is heavy this morning.,Traffic,/tr/,What is heavy?,Traffic,Tragic,Cars,Transportation,1
The subway runs every five minutes.,Subway,/s/,What runs often?,Subway,Sub way,Train,Transportation,2
The bus stop is on the corner.,Bus,/b/,Where is the stop?,Bus,Plus,Vehicle,Transportation,1
The parking meter expires soon.,Meter,/m/,What expires?,Meter,Eater,Timer,Transportation,2
The toll booth is one mile ahead.,Toll,/t/,What is ahead?,Toll,Tall,Booth,Transportation,2
The carpool lane saves time.,Carpool,/k/,What saves time?,Carpool,Car pool,Lane,Transportation,2
The bridge is closed for repairs.,Bridge,/br/,What is closed?,Bridge,Ridge,Overpass,Transportation,2
The ferry departs from pier twelve.,Ferry,/f/,What departs?,Ferry,Merry,Boat,Transportation,2
The bike lane is on the right.,Bike,/b/,What is on the right?,Bike,Like,Lane,Transportation,1
The gas station is at the next exit.,Station,/st/,What is at the exit?,Station,Stationed,Stop,Transportation,2
The train schedule changed recently.,Schedule,/sk/,What changed?,Schedule,Scheduled,Timetable,Transportation,2
The crosswalk light just turned green.,Crosswalk,/kr/,What turned green?,Crosswalk,Cross walk,Light,Transportation,2
The speed limit is thirty five.,Speed,/sp/,What is thirty five?,Speed,Seed,Limit,Transportation,1
The intersection is very busy.,Intersection,/ɪ/,What is busy?,Intersection,Inner section,Crossing,Transportation,3
The taxi fare is fifteen dollars.,Fare,/f/,What is fifteen dollars?,Fare,Fair,Cost,Transportation,2
The shuttle runs to the airport.,Shuttle,/ʃ/,What runs to the airport?,Shuttle,Subtle,Bus,Transportation,2
The highway is under construction.,Highway,/h/,What is under construction?,Highway,High way,Road,Transportation,2
The rideshare pickup is downstairs.,Rideshare,/r/,What is downstairs?,Rideshare,Ride share,Pickup,Transportation,2
The pedestrian bridge is safer.,Pedestrian,/p/,What is safer?,Pedestrian,Equestrian,Bridge,Transportation,2
The student passed the exam.,Passed,/p/,What did the student do?,Passed,Past,Succeeded,Education,1
The homework is due tomorrow.,Homework,/h/,What is due?,Homework,Home work,Assignment,Education,1
The textbook costs fifty dollars.,Textbook,/t/,What costs fifty dollars?,Textbook,Text book,Book,Education,2
The professor cancelled class today.,Professor,/pr/,Who cancelled class?,Professor,Professor,Teacher,Education,2
The scholarship covers tuition.,Scholarship,/sk/,What covers tuition?,Scholarship,Scholarships,Award,Education,3
The library closes at midnight.,Library,/l/,What closes at midnight?,Library,Lie berry,Building,Education,2
The semester ends in December.,Semester,/s/,When does it end?,Semester,Trimester,Term,Education,2
The diploma arrived by mail.,Diploma,/d/,What arrived?,Diploma,The ploma,Certificate,Education,2
The lecture hall seats two hundred.,Lecture,/l/,What seats two hundred?,Lecture,Lector,Hall,Education,2
The registration deadline is Friday.,Registration,/r/,What is Friday?,Registration,Rage station,Deadline,Education,3
The curriculum was recently updated.,Curriculum,/k/,What was updated?,Curriculum,Particular,Program,Education,3
The tutor helped with math problems.,Tutor,/t/,Who helped?,Tutor,Tudor,Helper,Education,2
The dormitory is across campus.,Dormitory,/d/,Where is it?,Dormitory,Laboratory,Building,Education,3
The syllabus outlines the course.,Syllabus,/s/,What outlines the course?,Syllabus,Silliest,Document,Education,3
The graduate ceremony is Saturday.,Graduate,/gr/,What is Saturday?,Graduate,Gradual,Ceremony,Education,2
The campus tour starts at ten.,Campus,/k/,What starts at ten?,Campus,Camp us,Tour,Education,2
The finals week is very stressful.,Finals,/f/,What is stressful?,Finals,Finds,Week,Education,2
The attendance policy is strict.,Attendance,/ɑ/,What is strict?,Attendance,Attendants,Policy,Education,2
The prerequisite course is required.,Prerequisite,/pr/,What is required?,Prerequisite,Per requisite,Course,Education,3
The academic advisor is helpful.,Advisor,/ɑ/,Who is helpful?,Advisor,Add visor,Counselor,Education,2
The recipe calls for two eggs.,Recipe,/r/,What calls for eggs?,Recipe,Receive,Instructions,Cooking,2
The oven should preheat first.,Preheat,/pr/,What should the oven do?,Preheat,Pre heat,Warm up,Cooking,2
The ingredients are on the counter.,Ingredients,/ɪ/,What is on the counter?,Ingredients,Agreements,Items,Cooking,2
The butter needs to be softened.,Butter,/b/,What needs softening?,Butter,Butter,Margarine,Cooking,1
The cake needs twenty more minutes.,Cake,/k/,What needs more time?,Cake,Lake,Dessert,Cooking,1
The vegetables should be chopped finely.,Vegetables,/v/,What should be chopped?,Vegetables,Vegetable,Produce,Cooking,2
The sauce is simmering on low.,Simmering,/s/,What is the sauce doing?,Simmering,Shimmering,Cooking,Cooking,2
The pan needs more oil.,Pan,/p/,What needs oil?,Pan,Can,Cookware,Cooking,1
The dough should rise for an hour.,Dough,/d/,What should rise?,Dough,Doe,Mixture,Cooking,2
The thermometer reads three fifty.,Thermometer,/θ/,What reads the temperature?,Thermometer,Barometer,Device,Cooking,3
The mixture needs more flour.,Flour,/fl/,What needs more?,Flour,Flower,Ingredient,Cooking,2
The soup is almost ready.,Soup,/s/,What is almost ready?,Soup,Scoop,Dish,Cooking,1
The grill should be cleaned first.,Grill,/gr/,What should be cleaned?,Grill,Frill,Appliance,Cooking,2
The seasoning makes a big difference.,Seasoning,/s/,What makes a difference?,Seasoning,Reasoning,Spice,Cooking,2
The marinade needs overnight.,Marinade,/m/,What needs overnight?,Marinade,Marine,Sauce,Cooking,3
The timer just went off.,Timer,/t/,What went off?,Timer,Rhymer,Device,Cooking,1
The roast is in the slow cooker.,Roast,/r/,Where is the roast?,Roast,Toast,Meat,Cooking,2
The blender is very powerful.,Blender,/b/,What is powerful?,Blender,Lender,Appliance,Cooking,2
The frosting should be spreadable.,Frosting,/fr/,What should be spreadable?,Frosting,Costing,Icing,Cooking,2
The leftovers go in the refrigerator.,Leftovers,/l/,Where do leftovers go?,Leftovers,Left overs,Fridge,Cooking,2
The mechanic checked the brakes.,Brakes,/br/,What did the mechanic check?,Brakes,Breaks,Parts,Automotive,2
The engine needs new oil.,Engine,/ɛ/,What needs oil?,Engine,Penguin,Motor,Automotive,2
The tire pressure is too low.,Pressure,/pr/,What is too low?,Pressure,Treasure,Air,Automotive,2
The windshield has a small crack.,Windshield,/w/,What has a crack?,Windshield,Wind shield,Glass,Automotive,2
The headlights need replacing.,Headlights,/h/,What needs replacing?,Headlights,Headlines,Lights,Automotive,2
The transmission is making a noise.,Transmission,/tr/,What is making noise?,Transmission,Admission,Part,Automotive,3
The alignment was adjusted yesterday.,Alignment,/ɑ/,What was adjusted?,Alignment,Assignment,Service,Automotive,3
The mileage on this car is low.,Mileage,/m/,What is low?,Mileage,Mile age,Distance,Automotive,2
The warranty covers major repairs.,Warranty,/w/,What covers repairs?,Warranty,Guarantee,Protection,Automotive,2
The inspection expires next month.,Inspection,/ɪ/,What expires?,Inspection,Selection,Sticker,Automotive,2
The radiator needs coolant.,Radiator,/r/,What needs coolant?,Radiator,Gladiator,Part,Automotive,3
The exhaust system is leaking.,Exhaust,/ɛ/,What is leaking?,Exhaust,Exalted,System,Automotive,3
The interior needs a deep cleaning.,Interior,/ɪ/,What needs cleaning?,Interior,Exterior,Inside,Automotive,2
The spark plugs should be changed.,Spark,/sp/,What should be changed?,Spark,Park,Parts,Automotive,2
The fuel tank is nearly empty.,Tank,/t/,What is nearly empty?,Tank,Thank,Container,Automotive,1
The steering wheel vibrates slightly.,Steering,/st/,What vibrates?,Steering,Staring,Wheel,Automotive,2
The dashboard warning light came on.,Dashboard,/d/,What light came on?,Dashboard,Dash board,Display,Automotive,2
The suspension needs repair work.,Suspension,/s/,What needs repair?,Suspension,Suspicion,Parts,Automotive,3
The convertible top is stuck.,Convertible,/k/,What is stuck?,Convertible,Invert able,Top,Automotive,3
The antifreeze level is low.,Antifreeze,/æ/,What is low?,Antifreeze,Anti freeze,Fluid,Automotive,3
The sunset paints the sky orange.,Paints,/p/,What does the sunset do?,Paints,Faint,Colors,Nature,2
The waterfall creates a mist.,Waterfall,/w/,What creates mist?,Waterfall,Water fall,Feature,Nature,2
The mountains are covered in snow.,Mountains,/m/,What is covered in snow?,Mountains,Fountains,Peaks,Nature,2
The river flows to the ocean.,River,/r/,Where does the river flow?,River,Liver,Water,Nature,1
The forest is home to many animals.,Forest,/f/,What is home to animals?,Forest,Florist,Woods,Nature,2
The valley is green and lush.,Valley,/v/,What is green?,Valley,Alley,Area,Nature,2
The meadow is full of wildflowers.,Meadow,/m/,What is full of wildflowers?,Meadow,Shadow,Field,Nature,2
The canyon walls are steep.,Canyon,/k/,What has steep walls?,Canyon,Cannon,Gorge,Nature,2
The glacier moves very slowly.,Glacier,/gl/,What moves slowly?,Glacier,Glazier,Ice,Nature,3
The desert gets very cold at night.,Desert,/d/,What gets cold?,Desert,Dessert,Land,Nature,2
The reef is teeming with fish.,Reef,/r/,What is teeming with fish?,Reef,Leaf,Coral,Nature,2
The volcano last erupted decades ago.,Volcano,/v/,What erupted?,Volcano,Vulcano,Mountain,Nature,3
The coast stretches for miles.,Coast,/k/,What stretches for miles?,Coast,Toast,Shore,Nature,2
The island is only accessible by boat.,Island,/ɑɪ/,How is it accessible?,Island,Ireland,Land,Nature,2
The swamp is full of wildlife.,Swamp,/sw/,What is full of wildlife?,Swamp,Stamp,Wetland,Nature,2
The prairie extends to the horizon.,Prairie,/pr/,What extends to the horizon?,Prairie,Parry,Grassland,Nature,3
The lagoon is perfect for swimming.,Lagoon,/l/,What is perfect for swimming?,Lagoon,Balloon,Water,Nature,2
The geyser erupts every hour.,Geyser,/g/,What erupts every hour?,Geyser,Geezer,Feature,Nature,3
The tundra remains frozen year round.,Tundra,/t/,What remains frozen?,Tundra,Thunder,Land,Nature,3
The aurora appeared in the night sky.,Aurora,/ɔ/,What appeared?,Aurora,A roar,Lights,Nature,3
The athlete broke the record.,Athlete,/æ/,Who broke the record?,Athlete,Bath feet,Competitor,Sports,2
The marathon starts at dawn.,Marathon,/m/,What starts at dawn?,Marathon,Triathlon,Race,Sports,2
The referee made a controversial call.,Referee,/r/,Who made the call?,Referee,Refugees,Official,Sports,2
The championship game is tonight.,Championship,/ch/,What is tonight?,Championship,Champ onship,Game,Sports,2
The coach gave an inspiring speech.,Coach,/k/,Who gave the speech?,Coach,Roach,Trainer,Sports,2
The tournament bracket was released.,Tournament,/t/,What was released?,Tournament,Journal,Bracket,Sports,3
The stadium erupted in cheers.,Stadium,/st/,What erupted?,Stadium,Stage,Arena,Sports,2
The quarterback threw a perfect pass.,Quarterback,/kw/,Who threw the pass?,Quarterback,Quarter back,Player,Sports,3
The goalie made an incredible save.,Goalie,/g/,Who made the save?,Goalie,Goal,Keeper,Sports,2
The playoffs begin next week.,Playoffs,/p/,What begins next week?,Playoffs,Play offs,Games,Sports,2
The team won the trophy.,Trophy,/tr/,What did they win?,Trophy,Atrophy,Award,Sports,2
The scoreboard shows a tied game.,Scoreboard,/sk/,What shows a tie?,Scoreboard,Score board,Display,Sports,2
The inning ended with a strikeout.,Inning,/ɪ/,What ended?,Inning,In ing,Round,Sports,2
The sprinter crossed the finish line.,Sprinter,/spr/,Who crossed the line?,Sprinter,Printer,Runner,Sports,3
The gymnast performed a flawless routine.,Gymnast,/dʒ/,Who performed?,Gymnast,Jim nast,Athlete,Sports,3
The relay team set a new record.,Relay,/r/,What team set a record?,Relay,Delay,Group,Sports,2
The umpire called it a strike.,Umpire,/ʌ/,Who called it?,Umpire,Empire,Official,Sports,2
The swimmer won the gold medal.,Swimmer,/sw/,Who won gold?,Swimmer,Swinger,Athlete,Sports,2
The halftime show was entertaining.,Halftime,/h/,What was entertaining?,Halftime,Half time,Show,Sports,2
The soccer match went into overtime.,Match,/m/,What went into overtime?,Match,Catch,Game,Sports,2
The financial report looks promising.,Financial,/f/,What looks promising?,Financial,Finance shall,Report,Finance,3
The budget needs to be reviewed.,Budget,/b/,What needs review?,Budget,Budge it,Plan,Finance,2
The interest rate has increased.,Interest,/ɪ/,What has increased?,Interest,In rest,Rate,Finance,2
The deposit was processed today.,Deposit,/d/,What was processed?,Deposit,Deposit,Payment,Finance,2
The mortgage payment is due Monday.,Mortgage,/m/,What is due?,Mortgage,More gage,Payment,Finance,3
The investment portfolio is diversified.,Portfolio,/p/,What is diversified?,Portfolio,Port folio,Investments,Finance,3
The transaction was successful.,Transaction,/tr/,What was successful?,Transaction,Traction,Payment,Finance,2
The statement shows the balance.,Statement,/st/,What shows the balance?,Statement,State meant,Document,Finance,2
The inflation rate is rising.,Inflation,/ɪ/,What is rising?,Inflation,In flation,Rate,Finance,3
The savings account earns interest.,Savings,/s/,What earns interest?,Savings,Saving,Account,Finance,2
The dividend will be paid quarterly.,Dividend,/d/,What will be paid?,Dividend,Diva end,Payment,Finance,3
The exchange rate fluctuates daily.,Exchange,/ɛ/,What fluctuates?,Exchange,Exchange,Rate,Finance,2
The tax refund arrived today.,Refund,/r/,What arrived?,Refund,Reefed,Payment,Finance,2
The premium is due next month.,Premium,/pr/,What is due?,Premium,Pre mum,Payment,Finance,2
The equity in the house has grown.,Equity,/ɛ/,What has grown?,Equity,Equal,Value,Finance,3
The retirement plan offers matching.,Retirement,/r/,What offers matching?,Retirement,Retire meant,Plan,Finance,3
The credit score improved this year.,Credit,/kr/,What improved?,Credit,Credited,Score,Finance,2
The loan application was approved.,Application,/æ/,What was approved?,Application,Implication,Form,Finance,2
The annuity provides steady income.,Annuity,/ɑ/,What provides income?,Annuity,And new it,Account,Finance,3
The broker recommended selling.,Broker,/br/,Who recommended selling?,Broker,Broken,Advisor,Finance,2
The painter finished the mural.,Painter,/p/,Who finished the mural?,Painter,Fainted,Artist,Art,2
The sculpture was carved from marble.,Sculpture,/sk/,What was carved?,Sculpture,Scolded,Art,Art,3
The canvas is ready for painting.,Canvas,/k/,What is ready?,Canvas,Campus,Material,Art,2
The gallery opening is Friday.,Opening,/o/,What is Friday?,Opening,Open ink,Event,Art,2
The portrait captures her likeness.,Portrait,/p/,What captures her likeness?,Portrait,Poor trait,Painting,Art,2
The brush strokes show great skill.,Brush,/br/,What shows skill?,Brush,Rush,Strokes,Art,2
The pottery class meets Wednesdays.,Pottery,/p/,What meets Wednesdays?,Pottery,Lottery,Class,Art,2
The palette contains many colors.,Palette,/p/,What contains colors?,Palette,Palace,Board,Art,2
The sketch is almost complete.,Sketch,/sk/,What is almost complete?,Sketch,Catch,Drawing,Art,2
The watercolor technique is difficult.,Watercolor,/w/,What technique is difficult?,Watercolor,Water color,Method,Art,3
The frame complements the artwork.,Frame,/fr/,What complements the art?,Frame,Flame,Border,Art,2
The photography exhibit is stunning.,Photography,/f/,What is stunning?,Photography,For tography,Exhibit,Art,3
The ceramic vase is very delicate.,Ceramic,/s/,What is delicate?,Ceramic,Sir am ic,Vase,Art,3
The charcoal drawing is expressive.,Charcoal,/ch/,What drawing is expressive?,Charcoal,Char coal,Medium,Art,3
The abstract piece sparks conversation.,Abstract,/æ/,What sparks conversation?,Abstract,Contacted,Art,Art,3
