word_1,word_2,contrast_category,phoneme_1_ipa,phoneme_2_ipa,contrast_position
"Sill","Shill","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sin","Shin","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sit","Shit","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Soap","Shoap","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sod","Shod","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sole","Shole","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Son","Shun","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Soot","Shoot","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sop","Shop","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sort","Short","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Soul","Shole","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sound","Shound","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sue","Shoe","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Suit","Shoot","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Sun","Shun","Consonant Place of Articulation","/s/","/ʃ/","Initial"
"Mess","Mesh","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Gas","Gash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Lease","Leash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Puss","Push","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Bass","Bash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Buss","Bush","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Case","Cash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Crass","Crash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Diss","Dish","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Gus","Gush","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Hiss","Hish","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Lass","Lash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Mass","Mash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Moss","Mosh","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Race","Rash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Russ","Rush","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Sass","Sash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Toss","Tosh","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Trace","Trash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Wass","Wash","Consonant Place of Articulation","/s/","/ʃ/","Final"
"Sin","Thin","Consonant Place of Articulation","/s/","/θ/","Initial"
"Sink","Think","Consonant Place of Articulation","/s/","/θ/","Initial"
"Some","Thumb","Consonant Place of Articulation","/s/","/θ/","Initial"
"Saw","Thaw","Consonant Place of Articulation","/s/","/θ/","Initial"
"Sick","Thick","Consonant Place of Articulation","/s/","/θ/","Initial"
"Sought","Thought","Consonant Place of Articulation","/s/","/θ/","Initial"
"Sank","Thank","Consonant Place of Articulation","/s/","/θ/","Initial"
"Seem","Theme","Consonant Place of Articulation","/s/","/θ/","Initial"
"Sigh","Thigh","Consonant Place of Articulation","/s/","/θ/","Initial"
"Song","Thong","Consonant Place of Articulation","/s/","/θ/","Initial"
"Face","Faith","Consonant Place of Articulation","/s/","/θ/","Final"
"Pass","Path","Consonant Place of Articulation","/s/","/θ/","Final"
"Miss","Myth","Consonant Place of Articulation","/s/","/θ/","Final"
"Mass","Math","Consonant Place of Articulation","/s/","/θ/","Final"
"Base","Bath","Consonant Place of Articulation","/s/","/θ/","Final"
"Boss","Both","Consonant Place of Articulation","/s/","/θ/","Final"
"Close","Cloth","Consonant Place of Articulation","/s/","/θ/","Final"
"Force","Fourth","Consonant Place of Articulation","/s/","/θ/","Final"
"Gross","Growth","Consonant Place of Articulation","/s/","/θ/","Final"
"Kiss","Kith","Consonant Place of Articulation","/s/","/θ/","Final"
"Lace","Lath","Consonant Place of Articulation","/s/","/θ/","Final"
"Mice","Myth","Consonant Place of Articulation","/s/","/θ/","Final"
"Moss","Moth","Consonant Place of Articulation","/s/","/θ/","Final"
"Mouse","Mouth","Consonant Place of Articulation","/s/","/θ/","Final"
"Race","Rath","Consonant Place of Articulation","/s/","/θ/","Final"
"Truce","Truth","Consonant Place of Articulation","/s/","/θ/","Final"
"Use","Youth","Consonant Place of Articulation","/s/","/θ/","Final"
"Fin","Thin","Consonant Place of Articulation","/f/","/θ/","Initial"
"Free","Three","Consonant Place of Articulation","/f/","/θ/","Initial"
"Fought","Thought","Consonant Place of Articulation","/f/","/θ/","Initial"
"Fret","Threat","Consonant Place of Articulation","/f/","/θ/","Initial"
"Firm","Therm","Consonant Place of Articulation","/f/","/θ/","Initial"
"First","Thirst","Consonant Place of Articulation","/f/","/θ/","Initial"
"Fresh","Thresh","Consonant Place of Articulation","/f/","/θ/","Initial"
"Frill","Thrill","Consonant Place of Articulation","/f/","/θ/","Initial"
"Frock","Throck","Consonant Place of Articulation","/f/","/θ/","Initial"
"Deaf","Death","Consonant Place of Articulation","/f/","/θ/","Final"
"Roof","Ruth","Consonant Place of Articulation","/f/","/θ/","Final"
"Riff","Rith","Consonant Place of Articulation","/f/","/θ/","Final"
"They","Day","Consonant Place of Articulation","/ð/","/d/","Initial"
"Then","Den","Consonant Place of Articulation","/ð/","/d/","Initial"
"There","Dare","Consonant Place of Articulation","/ð/","/d/","Initial"
"Those","Doze","Consonant Place of Articulation","/ð/","/d/","Initial"
"Than","Dan","Consonant Place of Articulation","/ð/","/d/","Initial"
"Thee","Dee","Consonant Place of Articulation","/ð/","/d/","Initial"
"Though","Dough","Consonant Place of Articulation","/ð/","/d/","Initial"
"Thy","Die","Consonant Place of Articulation","/ð/","/d/","Initial"
"Breathe","Breed","Consonant Place of Articulation","/ð/","/d/","Final"
"Loathe","Load","Consonant Place of Articulation","/ð/","/d/","Final"
"Soothe","Sued","Consonant Place of Articulation","/ð/","/d/","Final"
"Teethe","Teed","Consonant Place of Articulation","/ð/","/d/","Final"
"Writhe","Ride","Consonant Place of Articulation","/ð/","/d/","Final"
"Wait","Rate","Consonant Place of Articulation","/w/","/r/","Initial"
"Wed","Red","Consonant Place of Articulation","/w/","/r/","Initial"
"Wing","Ring","Consonant Place of Articulation","/w/","/r/","Initial"
"Wag","Rag","Consonant Place of Articulation","/w/","/r/","Initial"
"Whip","Rip","Consonant Place of Articulation","/w/","/r/","Initial"
"Wise","Rise","Consonant Place of Articulation","/w/","/r/","Initial"
"Wore","Roar","Consonant Place of Articulation","/w/","/r/","Initial"
"West","Rest","Consonant Place of Articulation","/w/","/r/","Initial"
"Wail","Rail","Consonant Place of Articulation","/w/","/r/","Initial"
"Wake","Rake","Consonant Place of Articulation","/w/","/r/","Initial"
"Weak","Reak","Consonant Place of Articulation","/w/","/r/","Initial"
"Weep","Reap","Consonant Place of Articulation","/w/","/r/","Initial"
"Wick","Rick","Consonant Place of Articulation","/w/","/r/","Initial"
"Wide","Ride","Consonant Place of Articulation","/w/","/r/","Initial"
"Wipe","Ripe","Consonant Place of Articulation","/w/","/r/","Initial"
"Woke","Yolk","Consonant Place of Articulation","/w/","/j/","Initial"
"Wet","Yet","Consonant Place of Articulation","/w/","/j/","Initial"
"Wail","Yale","Consonant Place of Articulation","/w/","/j/","Initial"
"Wall","Yawl","Consonant Place of Articulation","/w/","/j/","Initial"
"War","Yar","Consonant Place of Articulation","/w/","/j/","Initial"
"Ward","Yard","Consonant Place of Articulation","/w/","/j/","Initial"
"Warn","Yarn","Consonant Place of Articulation","/w/","/j/","Initial"
"Way","Yay","Consonant Place of Articulation","/w/","/j/","Initial"
"We","Ye","Consonant Place of Articulation","/w/","/j/","Initial"
"Wean","Yean","Consonant Place of Articulation","/w/","/j/","Initial"
"Wear","Yare","Consonant Place of Articulation","/w/","/j/","Initial"
"Well","Yell","Consonant Place of Articulation","/w/","/j/","Initial"
"Whelp","Yelp","Consonant Place of Articulation","/w/","/j/","Initial"
"When","Yen","Consonant Place of Articulation","/w/","/j/","Initial"
"Wield","Yield","Consonant Place of Articulation","/w/","/j/","Initial"
"Win","Yin","Consonant Place of Articulation","/w/","/j/","Initial"
"Whip","Yip","Consonant Place of Articulation","/w/","/j/","Initial"
"Cat","Pat","Consonant Place of Articulation","/k/","/p/","Initial"
"Can","Pan","Consonant Place of Articulation","/k/","/p/","Initial"
"Keep","Peep","Consonant Place of Articulation","/k/","/p/","Initial"
"Core","Pour","Consonant Place of Articulation","/k/","/p/","Initial"
"Cuff","Puff","Consonant Place of Articulation","/k/","/p/","Initial"
"Call","Paul","Consonant Place of Articulation","/k/","/p/","Initial"
"Cane","Pain","Consonant Place of Articulation","/k/","/p/","Initial"
"Care","Pair","Consonant Place of Articulation","/k/","/p/","Initial"
"Cart","Part","Consonant Place of Articulation","/k/","/p/","Initial"
"Case","Pace","Consonant Place of Articulation","/k/","/p/","Initial"
"Catch","Patch","Consonant Place of Articulation","/k/","/p/","Initial"
"Cave","Pave","Consonant Place of Articulation","/k/","/p/","Initial"
"Caw","Paw","Consonant Place of Articulation","/k/","/p/","Initial"
"Cease","Peace","Consonant Place of Articulation","/k/","/p/","Initial"
"Chain","Pain","Consonant Place of Articulation","/k/","/p/","Initial"
"Chair","Pair","Consonant Place of Articulation","/k/","/p/","Initial"
"Cheap","Peep","Consonant Place of Articulation","/k/","/p/","Initial"
"Check","Peck","Consonant Place of Articulation","/k/","/p/","Initial"
"Cheek","Peak","Consonant Place of Articulation","/k/","/p/","Initial"
"Cheer","Peer","Consonant Place of Articulation","/k/","/p/","Initial"
"Cheese","Pease","Consonant Place of Articulation","/k/","/p/","Initial"
"Chest","Pest","Consonant Place of Articulation","/k/","/p/","Initial"
"Chick","Pick","Consonant Place of Articulation","/k/","/p/","Initial"
"Chill","Pill","Consonant Place of Articulation","/k/","/p/","Initial"
"Chin","Pin","Consonant Place of Articulation","/k/","/p/","Initial"
"Chip","Pip","Consonant Place of Articulation","/k/","/p/","Initial"
"Choke","Poke","Consonant Place of Articulation","/k/","/p/","Initial"
"Chop","Pop","Consonant Place of Articulation","/k/","/p/","Initial"
"Chore","Pour","Consonant Place of Articulation","/k/","/p/","Initial"
"Clam","Pam","Consonant Place of Articulation","/k/","/p/","Initial"
"Clan","Plan","Consonant Place of Articulation","/k/","/p/","Initial"
"Clap","Pap","Consonant Place of Articulation","/k/","/p/","Initial"
"Clean","Plean","Consonant Place of Articulation","/k/","/p/","Initial"
"Click","Pick","Consonant Place of Articulation","/k/","/p/","Initial"
"Clip","Pip","Consonant Place of Articulation","/k/","/p/","Initial"
"Clock","Pock","Consonant Place of Articulation","/k/","/p/","Initial"
"Clod","Plod","Consonant Place of Articulation","/k/","/p/","Initial"
"Clot","Plot","Consonant Place of Articulation","/k/","/p/","Initial"
"Cloud","Proud","Consonant Place of Articulation","/k/","/p/","Initial"
"Coal","Pole","Consonant Place of Articulation","/k/","/p/","Initial"
"Coast","Post","Consonant Place of Articulation","/k/","/p/","Initial"
"Coat","Pote","Consonant Place of Articulation","/k/","/p/","Initial"
"Cock","Pock","Consonant Place of Articulation","/k/","/p/","Initial"
"Code","Pode","Consonant Place of Articulation","/k/","/p/","Initial"
"Coke","Poke","Consonant Place of Articulation","/k/","/p/","Initial"
"Cold","Pold","Consonant Place of Articulation","/k/","/p/","Initial"
"Cone","Pone","Consonant Place of Articulation","/k/","/p/","Initial"
"Cook","Pook","Consonant Place of Articulation","/k/","/p/","Initial"
"Cool","Pool","Consonant Place of Articulation","/k/","/p/","Initial"
"Cop","Pop","Consonant Place of Articulation","/k/","/p/","Initial"
"Cope","Pope","Consonant Place of Articulation","/k/","/p/","Initial"
"Cork","Pork","Consonant Place of Articulation","/k/","/p/","Initial"
"Corn","Porn","Consonant Place of Articulation","/k/","/p/","Initial"
"Cost","Post","Consonant Place of Articulation","/k/","/p/","Initial"
"Cot","Pot","Consonant Place of Articulation","/k/","/p/","Initial"
"Couch","Pouch","Consonant Place of Articulation","/k/","/p/","Initial"
"Count","Pount","Consonant Place of Articulation","/k/","/p/","Initial"
"Cove","Pove","Consonant Place of Articulation","/k/","/p/","Initial"
"Cow","Pow","Consonant Place of Articulation","/k/","/p/","Initial"
"Crank","Prank","Consonant Place of Articulation","/k/","/p/","Initial"
"Creak","Preak","Consonant Place of Articulation","/k/","/p/","Initial"
"Cream","Pream","Consonant Place of Articulation","/k/","/p/","Initial"
"Crime","Prime","Consonant Place of Articulation","/k/","/p/","Initial"
"Crisp","Prisp","Consonant Place of Articulation","/k/","/p/","Initial"
"Crop","Prop","Consonant Place of Articulation","/k/","/p/","Initial"
"Crowd","Proud","Consonant Place of Articulation","/k/","/p/","Initial"
"Cry","Pry","Consonant Place of Articulation","/k/","/p/","Initial"
"Cub","Pub","Consonant Place of Articulation","/k/","/p/","Initial"
"Cuddle","Puddle","Consonant Place of Articulation","/k/","/p/","Initial"
"Cue","Pew","Consonant Place of Articulation","/k/","/p/","Initial"
"Cull","Pull","Consonant Place of Articulation","/k/","/p/","Initial"
"Cup","Pup","Consonant Place of Articulation","/k/","/p/","Initial"
"Cure","Pure","Consonant Place of Articulation","/k/","/p/","Initial"
"Curl","Purl","Consonant Place of Articulation","/k/","/p/","Initial"
"Curse","Purse","Consonant Place of Articulation","/k/","/p/","Initial"
"Cut","Put","Consonant Place of Articulation","/k/","/p/","Initial"
"Four","Door","Consonant Place of Articulation","/f/","/d/","Initial"
"Fight","Tight","Consonant Place of Articulation","/f/","/t/","Initial"
"Fun","Sun","Consonant Place of Articulation","/f/","/s/","Initial"
"Far","Star","Consonant Place of Articulation","/f/","/s/","Initial"
"Fast","Past","Consonant Place of Articulation","/f/","/p/","Initial"
"Fat","Bat","Consonant Place of Articulation","/f/","/b/","Initial"
"Feed","Seed","Consonant Place of Articulation","/f/","/s/","Initial"
"Fell","Tell","Consonant Place of Articulation","/f/","/t/","Initial"
"Fill","Bill","Consonant Place of Articulation","/f/","/b/","Initial"
"Fine","Dine","Consonant Place of Articulation","/f/","/d/","Initial"
"Fish","Wish","Consonant Place of Articulation","/f/","/w/","Initial"
"Foam","Roam","Consonant Place of Articulation","/f/","/r/","Initial"
"Folk","Yolk","Consonant Place of Articulation","/f/","/j/","Initial"
"Foot","Put","Consonant Place of Articulation","/f/","/p/","Initial"
"Full","Pull","Consonant Place of Articulation","/f/","/p/","Initial"
"Fur","Purr","Consonant Place of Articulation","/f/","/p/","Initial"
"Fame","Tame","Consonant Place of Articulation","/f/","/t/","Initial"
"Fake","Take","Consonant Place of Articulation","/f/","/t/","Initial"
"Fan","Tan","Consonant Place of Articulation","/f/","/t/","Initial"
"Fang","Tang","Consonant Place of Articulation","/f/","/t/","Initial"
"Farm","Harm","Consonant Place of Articulation","/f/","/h/","Initial"
"Fart","Tart","Consonant Place of Articulation","/f/","/t/","Initial"
"Fate","Date","Consonant Place of Articulation","/f/","/d/","Initial"
"Fault","Vault","Consonant Place of Articulation","/f/","/v/","Initial"
"Fawn","Dawn","Consonant Place of Articulation","/f/","/d/","Initial"
"Fear","Tear","Consonant Place of Articulation","/f/","/t/","Initial"
"Feast","Least","Consonant Place of Articulation","/f/","/l/","Initial"
"Feat","Neat","Consonant Place of Articulation","/f/","/n/","Initial"
"Fed","Said","Consonant Place of Articulation","/f/","/s/","Initial"
"Fee","Tea","Consonant Place of Articulation","/f/","/t/","Initial"
"Feed","Need","Consonant Place of Articulation","/f/","/n/","Initial"
"Feel","Reel","Consonant Place of Articulation","/f/","/r/","Initial"
"Felt","Belt","Consonant Place of Articulation","/f/","/b/","Initial"
"Fen","Then","Consonant Place of Articulation","/f/","/ð/","Initial"
"Fence","Tense","Consonant Place of Articulation","/f/","/t/","Initial"
"Fend","Send","Consonant Place of Articulation","/f/","/s/","Initial"
"Ferry","Berry","Consonant Place of Articulation","/f/","/b/","Initial"
"Fetch","Sketch","Consonant Place of Articulation","/f/","/s/","Initial"
"Fete","Date","Consonant Place of Articulation","/f/","/d/","Initial"
"Few","Chew","Consonant Place of Articulation","/f/","/tʃ/","Initial"
"Fib","Rib","Consonant Place of Articulation","/f/","/r/","Initial"
"Fiddle","Middle","Consonant Place of Articulation","/f/","/m/","Initial"
"Field","Wield","Consonant Place of Articulation","/f/","/w/","Initial"
"Fig","Big","Consonant Place of Articulation","/f/","/b/","Initial"
"Fight","Might","Consonant Place of Articulation","/f/","/m/","Initial"
"File","Tile","Consonant Place of Articulation","/f/","/t/","Initial"
"Fill","Will","Consonant Place of Articulation","/f/","/w/","Initial"
"Fin","Tin","Consonant Place of Articulation","/f/","/t/","Initial"
"Finch","Winch","Consonant Place of Articulation","/f/","/w/","Initial"
"Find","Bind","Consonant Place of Articulation","/f/","/b/","Initial"
"Fine","Line","Consonant Place of Articulation","/f/","/l/","Initial"
"Fir","Sir","Consonant Place of Articulation","/f/","/s/","Initial"
"Fire","Hire","Consonant Place of Articulation","/f/","/h/","Initial"
"Firm","Term","Consonant Place of Articulation","/f/","/t/","Initial"
"Fish","Dish","Consonant Place of Articulation","/f/","/d/","Initial"
"Fist","Mist","Consonant Place of Articulation","/f/","/m/","Initial"
"Fit","Sit","Consonant Place of Articulation","/f/","/s/","Initial"
"Fix","Mix","Consonant Place of Articulation","/f/","/m/","Initial"
"Fizz","Whizz","Consonant Place of Articulation","/f/","/w/","Initial"
"Flag","Lag","Consonant Place of Articulation","/f/","/l/","Initial"
"Flake","Rake","Consonant Place of Articulation","/f/","/r/","Initial"
"Flame","Lame","Consonant Place of Articulation","/f/","/l/","Initial"
"Flap","Tap","Consonant Place of Articulation","/f/","/t/","Initial"
"Flash","Lash","Consonant Place of Articulation","/f/","/l/","Initial"
"Flask","Mask","Consonant Place of Articulation","/f/","/m/","Initial"
"Flat","That","Consonant Place of Articulation","/f/","/ð/","Initial"
"Flaw","Law","Consonant Place of Articulation","/f/","/l/","Initial"
"Flea","Tea","Consonant Place of Articulation","/f/","/t/","Initial"
"Fled","Said","Consonant Place of Articulation","/f/","/s/","Initial"
"Fleece","Niece","Consonant Place of Articulation","/f/","/n/","Initial"
"Flesh","Mesh","Consonant Place of Articulation","/f/","/m/","Initial"
"Flew","Blue","Consonant Place of Articulation","/f/","/b/","Initial"
"Flick","Lick","Consonant Place of Articulation","/f/","/l/","Initial"
"Flight","Bite","Consonant Place of Articulation","/f/","/b/","Initial"
"Fling","Sing","Consonant Place of Articulation","/f/","/s/","Initial"
"Flip","Tip","Consonant Place of Articulation","/f/","/t/","Initial"
"Flirt","Dirt","Consonant Place of Articulation","/f/","/d/","Initial"
"Float","Boat","Consonant Place of Articulation","/f/","/b/","Initial"
"Flock","Dock","Consonant Place of Articulation","/f/","/d/","Initial"
"Flog","Dog","Consonant Place of Articulation","/f/","/d/","Initial"
"Flood","Mud","Consonant Place of Articulation","/f/","/m/","Initial"
"Floor","Door","Consonant Place of Articulation","/f/","/d/","Initial"
"Flop","Top","Consonant Place of Articulation","/f/","/t/","Initial"
"Flow","Low","Consonant Place of Articulation","/f/","/l/","Initial"
"Fluff","Stuff","Consonant Place of Articulation","/f/","/s/","Initial"
"Flush","Rush","Consonant Place of Articulation","/f/","/r/","Initial"
"Flute","Loot","Consonant Place of Articulation","/f/","/l/","Initial"
"Fly","Lie","Consonant Place of Articulation","/f/","/l/","Initial"
"Foal","Goal","Consonant Place of Articulation","/f/","/g/","Initial"
"Foam","Home","Consonant Place of Articulation","/f/","/h/","Initial"
"Fog","Dog","Consonant Place of Articulation","/f/","/d/","Initial"
"Foil","Boil","Consonant Place of Articulation","/f/","/b/","Initial"
"Fold","Gold","Consonant Place of Articulation","/f/","/g/","Initial"
"Folk","Soak","Consonant Place of Articulation","/f/","/s/","Initial"
"Fond","Bond","Consonant Place of Articulation","/f/","/b/","Initial"
"Food","Mood","Consonant Place of Articulation","/f/","/m/","Initial"
"Fool","Pool","Consonant Place of Articulation","/f/","/p/","Initial"
"Foot","Soot","Consonant Place of Articulation","/f/","/s/","Initial"
"For","War","Consonant Place of Articulation","/f/","/w/","Initial"
"Ford","Board","Consonant Place of Articulation","/f/","/b/","Initial"
"Fore","Sore","Consonant Place of Articulation","/f/","/s/","Initial"
"Fork","Pork","Consonant Place of Articulation","/f/","/p/","Initial"
"Form","Warm","Consonant Place of Articulation","/f/","/w/","Initial"
"Fort","Sort","Consonant Place of Articulation","/f/","/s/","Initial"
"Foul","Howl","Consonant Place of Articulation","/f/","/h/","Initial"
"Found","Sound","Consonant Place of Articulation","/f/","/s/","Initial"
"Four","Tour","Consonant Place of Articulation","/f/","/t/","Initial"
"Fowl","Vowel","Consonant Place of Articulation","/f/","/v/","Initial"
"Fox","Box","Consonant Place of Articulation","/f/","/b/","Initial"
"Fray","Ray","Consonant Place of Articulation","/f/","/r/","Initial"
"Free","Tree","Consonant Place of Articulation","/f/","/t/","Initial"
"Fret","Bet","Consonant Place of Articulation","/f/","/b/","Initial"
"Fridge","Bridge","Consonant Place of Articulation","/f/","/b/","Initial"
"Friend","Bend","Consonant Place of Articulation","/f/","/b/","Initial"
"Fright","Right","Consonant Place of Articulation","/f/","/r/","Initial"
"Frill","Grill","Consonant Place of Articulation","/f/","/g/","Initial"
"Fringe","Cringe","Consonant Place of Articulation","/f/","/k/","Initial"
"Frock","Crock","Consonant Place of Articulation","/f/","/k/","Initial"
"Frog","Dog","Consonant Place of Articulation","/f/","/d/","Initial"
"From","Rum","Consonant Place of Articulation","/f/","/r/","Initial"
"Front","Runt","Consonant Place of Articulation","/f/","/r/","Initial"
"Frown","Crown","Consonant Place of Articulation","/f/","/k/","Initial"
"Fruit","Boot","Consonant Place of Articulation","/f/","/b/","Initial"
"Fry","Try","Consonant Place of Articulation","/f/","/t/","Initial"
"Fudge","Judge","Consonant Place of Articulation","/f/","/dʒ/","Initial"
"Full","Dull","Consonant Place of Articulation","/f/","/d/","Initial"
"Fume","Tomb","Consonant Place of Articulation","/f/","/t/","Initial"
"Fun","Run","Consonant Place of Articulation","/f/","/r/","Initial"
"Fund","Bund","Consonant Place of Articulation","/f/","/b/","Initial"
"Fur","Sir","Consonant Place of Articulation","/f/","/s/","Initial"
"Fuse","Use","Consonant Place of Articulation","/f/","/j/","Initial"
"Fuss","Bus","Consonant Place of Articulation","/f/","/b/","Initial"
"Chew","Shoe","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chop","Shop","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chair","Share","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chip","Ship","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Choose","Shoes","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chic","Sheik","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chat","Shat","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Cheat","Sheet","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Check","Sheck","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Cheek","Sheek","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Cheer","Sheer","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Cheese","Sheese","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chest","Shest","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chief","Sheaf","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chill","Shill","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chime","Shime","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chin","Shin","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chine","Shine","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chirp","Sherp","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chit","Shit","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chock","Shock","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Choice","Shoice","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Choke","Shoke","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chore","Shore","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chose","Shows","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chow","Show","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chuck","Shuck","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chug","Shug","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chum","Shum","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Chunk","Shunk","Consonant Manner of Articulation","/tʃ/","/ʃ/","Initial"
"Catch","Cash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Watch","Wash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Match","Mash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Wish","Witch","Consonant Manner of Articulation","/ʃ/","/tʃ/","Final"
"Ditch","Dish","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Hatch","Hash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Belch","Belsh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Bench","Bensh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Birch","Birsh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Botch","Bosh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Branch","Brash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Breach","Breesh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Brooch","Broosh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Bunch","Bunsh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Clutch","Clush","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Coach","Coash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Cooch","Coosh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Couch","Coush","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Crutch","Crush","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Ditch","Dish","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Dutch","Dush","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Each","Eash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Etch","Esh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Fetch","Fesh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Filch","Filsh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Finch","Finsh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Fletch","Flesh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Gooch","Goosh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Gulch","Gulsh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Hatch","Hash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Hitch","Hish","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Hooch","Hoosh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Hutch","Hush","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Itch","Ish","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Ketch","Kesh","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
"Latch","Lash","Consonant Manner of Articulation","/tʃ/","/ʃ/","Final"
