sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
"I need to buy some soap and shampoo.","Shampoo",/ʃ/,"What do I need to buy besides soap?","Shampoo","Bamboo","Cleaner","Daily Life",2
"He is watching a basketball game.","Basketball",/b/,"What game is he watching?","Basketball","Racket-ball","Sports","Social",3
"The snow is very deep.","Deep",/d/,"How is the snow?","Deep","Sheep","Thick","Outdoors",3
"She is writing a letter to her friend.","Friend",/fr/,"Who is she writing a letter to?","Friend","Trend","Person","Daily Life",2
"The coffee is very hot.","Hot",/h/,"How is the coffee?","Hot","Pot","Warm","Dining",1
"He is cleaning the car windows.","Windows",/w/,"What is he cleaning?","Windows","Minnows","Glass","Daily Life",2
"The children are playing in the sandbox.","Sandbox",/s/,"Where are the children playing?","Sandbox","Band-box","Yard","Outdoors",3
"She is wearing a scarf around her neck.","Neck",/n/,"Where is she wearing a scarf?","Neck","Deck","Shoulders","Daily Life",3
"The wind is blowing the door shut.","Shut",/ʃ/,"What is the wind doing to the door?","Shut","Cut","Closing","Daily Life",3
"I need to go to the bank today.","Bank",/b/,"Where do I need to go today?","Bank","Tank","Money","Daily Life",2
"He is eating a slice of cake.","Slice",/sl/,"What is he eating?","Slice","Ice","Piece","Dining",2
"The bird is sitting in the tree.","Tree",/tr/,"Where is the bird sitting?","Tree","Free","Branch","Outdoors",2
"She is looking for a new job.","Job",/dʒ/,"What is she looking for?","Job","Gob","Work","Daily Life",3
"The dog is barking at the mail carrier.","Mail carrier",/m/,"Who is the dog barking at?","Mail carrier","Sail barrier","Person","Daily Life",3
"I need to buy a new watch.","Watch",/w/,"What do I need to buy?","Watch","Swatch","Timepiece","Daily Life",3
"He is wearing a helmet while riding his bike.","Helmet",/h/,"What is he wearing while riding his bike?","Helmet","Velvet","Safety","Outdoors",4
"The water is boiling in the pot.","Pot",/p/,"Where is the water boiling?","Pot","Hot","Stove","Dining",2
"She is putting the groceries in the refrigerator.","Refrigerator",/r/,"Where is she putting the groceries?","Refrigerator","Decorator","Fridge","Daily Life",4
"The airplane is flying through the sky.","Sky",/sk/,"Where is the airplane flying?","Sky","Pie","Air","Outdoors",2
"I need to buy some eggs and bacon.","Bacon",/b/,"What do I need to buy besides eggs?","Bacon","Taken","Food","Dining",2
"He is watching a football game on TV.","Football",/f/,"What game is he watching?","Football","Softball","Sports","Social",3
"The snow is falling heavily.","Heavily",/h/,"How is the snow falling?","Heavily","Cheerily","A lot","Outdoors",4
"She is writing a story on her laptop.","Story",/st/,"What is she writing?","Story","Glory","Book","Daily Life",3
"The coffee is very sweet.","Sweet",/sw/,"How is the coffee?","Sweet","Wheat","Sugary","Dining",3
"He is cleaning the garage floor.","Floor",/fl/,"What is he cleaning in the garage?","Floor","Door","Ground","Daily Life",3
"The children are playing with blocks.","Blocks",/bl/,"What are the children playing with?","Blocks","Clocks","Toys","Daily Life",2
"She is wearing a bracelet on her wrist.","Bracelet",/br/,"What is she wearing on her wrist?","Bracelet","Graceless","Jewelry","Social",4
"The wind is blowing the flag.","Flag",/fl/,"What is the wind blowing?","Flag","Bag","Pole","Outdoors",3
"I need to go to the pharmacy.","Pharmacy",/f/,"Where do I need to go?","Pharmacy","Harmony","Drugs","Daily Life",4
"He is eating a hamburger and fries.","Hamburger",/h/,"What is he eating?","Hamburger","Stammerer","Food","Dining",3
"The bird is flying over the house.","House",/h/,"Where is the bird flying?","House","Mouse","Roof","Outdoors",2
"She is looking for her phone charger.","Charger",/tʃ/,"What is she looking for?","Charger","Barger","Cord","Daily Life",3
"The dog is chewing on a bone.","Bone",/b/,"What is the dog chewing on?","Bone","Phone","Treat","Daily Life",2
"I need to buy a new umbrella.","Umbrella",/ʌ/,"What do I need to buy?","Umbrella","Propella","Rain","Daily Life",3
"He is wearing a suit to the wedding.","Wedding",/w/,"Where is he wearing a suit?","Wedding","Bedding","Event","Social",2
"The water is flowing out of the tub.","Tub",/t/,"Where is the water flowing out of?","Tub","Sub","Bath","Daily Life",2
"She is putting the letter in the mailbox.","Mailbox",/m/,"Where is she putting the letter?","Mailbox","Sail-rocks","Post","Daily Life",3
"The airplane is flying to another city.","City",/s/,"Where is the airplane flying?","City","Pity","Place","Outdoors",3
"I need to buy some coffee beans.","Beans",/b/,"What do I need to buy?","Beans","Means","Coffee","Dining",3
"He is watching a documentary about animals.","Documentary",/d/,"What is he watching?","Documentary","Elementary","Show","Social",5
"The snow is very white and clean.","White",/w/,"How is the snow?","White","Light","Pure","Outdoors",2
"She is writing a list of things to do.","List",/l/,"What is she writing?","List","Fist","Notes","Daily Life",2
"The coffee is very dark and rich.","Dark",/d/,"How is the coffee?","Dark","Bark","Strong","Dining",3
"He is cleaning the bathroom sink.","Sink",/s/,"What is he cleaning?","Sink","Think","Basin","Daily Life",3
"The children are playing in the playground.","Playground",/pl/,"Where are the children playing?","Playground","Greyhound","Park","Outdoors",3
"She is wearing a diamond necklace.","Diamond",/d/,"What kind of necklace is she wearing?","Diamond","Simon","Expensive","Social",4
"The wind is blowing the trees back and forth.","Trees",/tr/,"What is the wind blowing?","Trees","Seize","Branches","Outdoors",2
"I need to go to the hardware store.","Hardware",/h/,"What kind of store do I need to go to?","Hardware","Card-wear","Tools","Daily Life",4
"He is eating a salad for lunch.","Salad",/s/,"What is he eating for lunch?","Salad","Ballad","Healthy","Dining",2
"The bird is chirping loudly.","Chirping",/tʃ/,"What is the bird doing?","Chirping","Burping","Singing","Outdoors",3
"She is looking for a place to sit.","Sit",/s/,"What is she looking for a place to do?","Sit","Fit","Rest","Social",2
"The dog is wagging his tail.","Wagging",/w/,"What is the dog doing with his tail?","Wagging","Lagging","Moving","Daily Life",2
"I need to buy a new computer mouse.","Mouse",/m/,"What do I need to buy?","Mouse","House","Clicker","Daily Life",3
"He is wearing a jacket because it's windy.","Windy",/w/,"Why is he wearing a jacket?","Windy","Candy","Cold","Outdoors",3
"The water is cold in the swimming pool.","Pool",/p/,"Where is the water cold?","Pool","Cool","Water","Outdoors",2
"She is putting the baby in the crib.","Crib",/kr/,"Where is she putting the baby?","Crib","Rib","Bed","Daily Life",3
"The airplane is flying over the ocean.","Ocean",/oʊ/,"Where is the airplane flying?","Ocean","Motion","Water","Outdoors",3
"I need to buy some chicken for dinner.","Chicken",/tʃ/,"What do I need to buy for dinner?","Chicken","Kitchen","Meat","Dining",2
"He is watching a horror movie.","Horror",/h/,"What kind of movie is he watching?","Horror","Sorter","Scary","Social",4
"The snow is starting to stick to the ground.","Stick",/st/,"What is the snow starting to do?","Stick","Pick","Stay","Outdoors",4
"She is writing a poem about nature.","Poem",/p/,"What is she writing?","Poem","Roam","Verse","Daily Life",4
"The coffee is very weak.","Weak",/w/,"How is the coffee?","Weak","Beak","Watery","Dining",4
"He is cleaning the kitchen counters.","Counters",/k/,"What is he cleaning?","Counters","Bouncers","Tops","Daily Life",3
"The children are playing tag in the yard.","Tag",/t/,"What are the children playing?","Tag","Bag","Game","Outdoors",2
"She is wearing a gold watch.","Gold",/g/,"What kind of watch is she wearing?","Gold","Cold","Expensive","Social",3
"The wind is blowing the rain sideways.","Sideways",/s/,"How is the wind blowing the rain?","Sideways","My ways","Direction","Outdoors",4
"I need to go to the doctor for a checkup.","Checkup",/tʃ/,"Why do I need to go to the doctor?","Checkup","Ketchup","Appointment","Daily Life",4
"He is eating a steak and potatoes.","Steak",/st/,"What is he eating?","Steak","Stake","Meat","Dining",3
"The bird is flying south for the winter.","South",/s/,"Where is the bird flying?","South","Mouth","Direction","Outdoors",4
"She is looking for a dress to wear to the party.","Dress",/dr/,"What is she looking for?","Dress","Stress","Outfit","Social",3
"The dog is sleeping by the fireplace.","Fireplace",/f/,"Where is the dog sleeping?","Fireplace","Tire-space","Hearth","Daily Life",3
"I need to buy a new phone case.","Case",/k/,"What do I need to buy?","Case","Base","Cover","Daily Life",3
"He is wearing a hat to protect him from the sun.","Sun",/s/,"What is the hat protecting him from?","Sun","Fun","Heat","Outdoors",2
"The water is clean and clear in the lake.","Clear",/kl/,"How is the water in the lake?","Clear","Near","Pure","Outdoors",3
"She is putting the flowers in a vase.","Vase",/v/,"Where is she putting the flowers?","Vase","Base","Container","Daily Life",3
"The airplane is flying at a high altitude.","Altitude",/æ/,"What is the airplane flying at?","Altitude","Attitude","Height","Outdoors",5
"I need to buy some paper towels.","Paper towels",/p/,"What do I need to buy?","Paper towels","Taper vowels","Cleaner","Daily Life",4
"He is watching a science fiction movie.","Science fiction",/s/,"What kind of movie is he watching?","Science fiction","Silence friction","Fantasy","Social",5
"The snow is covering the trees.","Trees",/tr/,"What is the snow covering?","Trees","Seize","Branches","Outdoors",2
"She is writing a thank you note.","Note",/n/,"What is she writing?","Note","Vote","Card","Social",3
"The coffee is very aromatic.","Aromatic",/r/,"How is the coffee?","Aromatic","Erratic","Smelly","Dining",5
"He is cleaning the bedroom closet.","Closet",/kl/,"What is he cleaning?","Closet","Deposit","Storage","Daily Life",3
"The children are playing on the swings.","Swings",/sw/,"What are the children playing on?","Swings","Things","Park","Outdoors",3
"She is wearing a silver bracelet.","Silver",/s/,"What kind of bracelet is she wearing?","Silver","Deliver","Metal","Social",4
"The wind is blowing the sailboat across the water.","Sailboat",/s/,"What is the wind blowing?","Sailboat","Mail-coat","Vessel","Outdoors",4
"I need to go to the library to return a book.","Library",/l/,"Where do I need to go?","Library","Blueberry","Books","Daily Life",3
"He is eating a bowl of ice cream.","Ice cream",/aɪ/,"What is he eating?","Ice cream","Scream","Dessert","Dining",2
"The bird is hopping on the grass.","Hopping",/h/,"What is the bird doing?","Hopping","Shopping","Jumping","Outdoors",3
"She is looking for a pen in her purse.","Pen",/p/,"What is she looking for in her purse?","Pen","Ten","Writer","Daily Life",2
"The dog is chasing a squirrel up the tree.","Squirrel",/skw/,"What is the dog chasing?","Squirrel","Twirl","Animal","Outdoors",4
"I need to buy a new battery for my watch.","Battery",/b/,"What do I need to buy?","Battery","Flattery","Power","Daily Life",4
"He is wearing a raincoat because it's raining.","Raincoat",/r/,"What is he wearing?","Raincoat","Train-boat","Jacket","Outdoors",3
"The water is warm in the bathtub.","Warm",/w/,"How is the water in the bathtub?","Warm","Farm","Hot","Daily Life",2
"She is putting the milk in the cereal.","Cereal",/s/,"What is she putting the milk in?","Cereal","Serial","Bowl","Dining",1
"The airplane is flying over the mountains.","Mountains",/m/,"Where is the airplane flying?","Mountains","Fountains","Hills","Outdoors",3
"I need to buy some eggs for breakfast.","Breakfast",/br/,"Why do I need to buy eggs?","Breakfast","Wreck-fast","Morning","Dining",3
"He is watching a cooking show on TV.","Cooking",/k/,"What kind of show is he watching?","Cooking","Booking","Food","Social",3
"The snow is melting in the sun.","Melting",/m/,"What is the snow doing?","Melting","Smelting","Disappearing","Outdoors",3
"She is writing a grocery list.","List",/l/,"What is she writing?","List","Fist","Shopping","Daily Life",3
"The coffee is very acidic.","Acidic",/s/,"How is the coffee?","Acidic","A-critic","Sour","Dining",5
"He is cleaning the living room rug.","Rug",/r/,"What is he cleaning?","Rug","Mug","Carpet","Daily Life",2
"The children are playing soccer in the park.","Soccer",/s/,"What are the children playing?","Soccer","Shocker","Game","Outdoors",3
"She is wearing a pearl necklace.","Pearl",/p/,"What kind of necklace is she wearing?","Pearl","Girl","Jewelry","Social",4
"The wind is blowing the smoke from the fire.","Smoke",/sm/,"What is the wind blowing?","Smoke","Poke","Fire","Outdoors",3
"I need to go to the gas station.","Gas station",/g/,"Where do I need to go?","Gas station","Pass nation","Fuel","Daily Life",3
"He is eating a piece of pie.","Pie",/p/,"What is he eating?","Pie","Tie","Dessert","Dining",2
"The bird is looking for worms in the dirt.","Worms",/w/,"What is the bird looking for?","Worms","Firms","Food","Outdoors",4
"She is looking for a place to park her car.","Park",/p/,"What is she looking for a place to do?","Park","Bark","Stop","Daily Life",3
"The dog is hiding under the table.","Table",/t/,"Where is the dog hiding?","Table","Cable","Furniture","Daily Life",2
"I need to buy a new light bulb.","Light bulb",/l/,"What do I need to buy?","Light bulb","White tub","Lamp","Daily Life",4
"He is wearing a sweater because it's cold.","Sweater",/sw/,"What is he wearing?","Sweater","Wetter","Jumper","Daily Life",2
"The water is clean and fresh.","Fresh",/fr/,"How is the water?","Fresh","Mesh","Pure","Daily Life",3
"She is putting the baby in the stroller.","Stroller",/str/,"Where is she putting the baby?","Stroller","Bowler","Cart","Daily Life",4
"The airplane is flying to a different country.","Country",/k/,"Where is the airplane flying?","Country","Bounty","Nation","Outdoors",4
"I need to buy some laundry detergent.","Detergent",/d/,"What do I need to buy?","Detergent","Emergent","Soap","Daily Life",5
"He is watching a drama series on Netflix.","Drama",/dr/,"What kind of series is he watching?","Drama","Trauma","Serious","Social",4
"The snow is falling on the rooftops.","Rooftops",/r/,"Where is the snow falling?","Rooftops","Shoe-stops","Houses","Outdoors",3
"She is writing an email to her boss.","Email",/iː/,"What is she writing?","Email","Detail","Message","Daily Life",3
"The coffee is very smooth.","Smooth",/sm/,"How is the coffee?","Smooth","Groove","Creamy","Dining",4
"He is cleaning the attic stairs.","Attic",/æ/,"Where is he cleaning the stairs?","Attic","Static","Upstairs","Daily Life",4
"The children are playing with dolls.","Dolls",/d/,"What are the children playing with?","Dolls","Walls","Toys","Daily Life",2
"She is wearing a silk blouse.","Silk",/s/,"What kind of blouse is she wearing?","Silk","Milk","Fabric","Social",4
"The wind is blowing the leaves around the yard.","Yard",/j/,"Where is the wind blowing the leaves?","Yard","Hard","Grass","Outdoors",2
"I need to go to the dentist to fix a cavity.","Cavity",/k/,"Why do I need to go to the dentist?","Cavity","Gravity","Tooth","Daily Life",5
"He is eating a bowl of oatmeal.","Oatmeal",/oʊ/,"What is he eating?","Oatmeal","Goat-meal","Breakfast","Dining",3
"The bird is sitting on the power line.","Power line",/p/,"Where is the bird sitting?","Power line","Sour lime","Wire","Outdoors",4
"She is looking for a book at the bookstore.","Bookstore",/b/,"Where is she looking for a book?","Bookstore","Cook-more","Shop","Daily Life",3
"The dog is running in the field.","Field",/f/,"Where is the dog running?","Field","Shield","Grass","Outdoors",3
"I need to buy a new pillow for my bed.","Pillow",/p/,"What do I need to buy?","Pillow","Willow","Bedding","Daily Life",3
"He is wearing a mask to protect himself.","Mask",/m/,"What is he wearing for protection?","Mask","Task","Cover","Daily Life",3
"The water is flowing into the drain.","Drain",/dr/,"Where is the water flowing?","Drain","Train","Pipe","Daily Life",3
"She is putting the leftovers in a container.","Container",/k/,"Where is she putting the leftovers?","Container","Retainer","Box","Dining",4
"The airplane is waiting for clearance to take off.","Clearance",/kl/,"What is the airplane waiting for?","Clearance","Appearance","Permission","Outdoors",5
"I need to buy some stamps for these letters.","Stamps",/st/,"What do I need to buy?","Stamps","Lamps","Postage","Daily Life",3
"He is watching a baseball game at the stadium.","Baseball",/b/,"What game is he watching?","Baseball","Taste-all","Sports","Social",3
"The snow is blowing across the road.","Road",/r/,"Where is the snow blowing?","Road","Load","Street","Outdoors",3
"She is writing a check to pay the bill.","Check",/tʃ/,"What is she writing?","Check","Neck","Payment","Daily Life",3
"The coffee is very flavorful.","Flavorful",/fl/,"How is the coffee?","Flavorful","Playful","Tasty","Dining",4
"He is cleaning the dust off the furniture.","Dust",/d/,"What is he cleaning off the furniture?","Dust","Rust","Dirt","Daily Life",3
"The children are playing in the sprinkler.","Sprinkler",/spr/,"What are the children playing in?","Sprinkler","Wrinkler","Water","Outdoors",4
"She is wearing a leather jacket.","Leather",/l/,"What kind of jacket is she wearing?","Leather","Feather","Material","Social",3
"The wind is howling through the trees.","Howling",/h/,"What is the wind doing?","Howling","Bowling","Blowing","Outdoors",4
"I need to go to the ATM to get some cash.","Cash",/k/,"Why do I need to go to the ATM?","Cash","Catch","Money","Daily Life",3
"He is eating a piece of chocolate cake.","Chocolate",/tʃ/,"What kind of cake is he eating?","Chocolate","Socket","Dessert","Dining",3
"The bird is eating a worm.","Worm",/w/,"What is the bird eating?","Worm","Firm","Food","Outdoors",4
"She is looking for her keys in the dark.","Dark",/d/,"Where is she looking for her keys?","Dark","Bark","Night","Daily Life",3
"The dog is playing fetch with a stick.","Fetch",/f/,"What is the dog playing?","Fetch","Sketch","Game","Outdoors",3
"I need to buy a new vacuum cleaner.","Vacuum cleaner",/v/,"What do I need to buy?","Vacuum cleaner","Volume meter","Appliance","Daily Life",5
"He is wearing sunglasses because it's bright.","Sunglasses",/s/,"What is he wearing?","Sunglasses","Sun-classes","Eyewear","Outdoors",3
"The water is frozen in the birdbath.","Frozen",/fr/,"How is the water in the birdbath?","Frozen","Chosen","Ice","Outdoors",4
"She is putting the clothes in the dryer.","Dryer",/dr/,"Where is she putting the clothes?","Dryer","Fryer","Laundry","Daily Life",3
"The airplane is experiencing turbulence.","Turbulence",/t/,"What is the airplane experiencing?","Turbulence","Opulence","Bumps","Outdoors",5
"I need to buy some milk and cheese.","Cheese",/tʃ/,"What do I need to buy besides milk?","Cheese","Sneeze","Dairy","Dining",2
"He is watching a thriller movie.","Thriller",/θr/,"What kind of movie is he watching?","Thriller","Spiller","Suspense","Social",4
"The snow is very powdery.","Powdery",/p/,"How is the snow?","Powdery","Flowery","Light","Outdoors",4
"She is writing a message on a whiteboard.","Whiteboard",/w/,"What is she writing on?","Whiteboard","Skateboard","Board","Daily Life",4
"The coffee is lukewarm.","Lukewarm",/l/,"How is the coffee?","Lukewarm","Bookworm","Tepid","Dining",4
"He is cleaning the mud off his boots.","Mud",/m/,"What is he cleaning off his boots?","Mud","Bud","Dirt","Daily Life",2
"The children are playing in the autumn leaves.","Leaves",/l/,"What are the children playing in?","Leaves","Sleeves","Fall","Outdoors",2
"She is wearing a colorful dress.","Colorful",/k/,"How is her dress?","Colorful","Sorrowful","Bright","Social",3
"The wind is blowing the smoke away.","Smoke",/sm/,"What is the wind blowing away?","Smoke","Poke","Fire","Outdoors",3
"He cut the green grass.","Grass",/g/,"What did he cut?","Grass","Glass","Lawn","Outdoors",1
"Please pass the salt.","Salt",/s/,"What should I pass?","Salt","Fault","Pepper","Dining",1
"We ate lunch at noon.","Lunch",/l/,"What did we eat at noon?","Lunch","Bunch","Food","Dining",2
"The fire is very warm.","Warm",/w/,"How is the fire?","Warm","Arm","Hot","Daily Life",1
"He has a beard and mustache.","Beard",/b/,"What does he have on his face?","Beard","Weird","Hair","Social",3
"The map is in the glove box.","Map",/m/,"What is in the glove box?","Map","Cap","Book","Daily Life",3
"She is a very good cook.","Cook",/k/,"What is she very good at being?","Cook","Book","Chef","Dining",3
"The shirt is too small.","Small",/sm/,"How is the shirt?","Small","Tall","Tight","Daily Life",2
"The sink is full of water.","Sink",/s/,"What is full of water?","Sink","Think","Tub","Daily Life",2
"The chicken is in the oven.","Chicken",/tʃ/,"What is in the oven?","Chicken","Kitchen","Food","Dining",2
"She is afraid of the storm.","Storm",/st/,"What is she afraid of?","Storm","Worm","Weather","Outdoors",2
"I have a meeting tomorrow.","Meeting",/m/,"What do I have tomorrow?","Meeting","Eating","Appointment","Daily Life",2
"The pillow is very soft.","Pillow",/p/,"What is very soft?","Pillow","Willow","Bed","Daily Life",2
"We need to turn right here.","Right",/r/,"Which way do we need to turn?","Right","Light","Left","Daily Life",1
"The ice cream is melting.","Ice cream",/aɪ/,"What is melting?","Ice cream","Nice dream","Dessert","Dining",2
"The keys are on the hook.","Hook",/h/,"Where are the keys?","Hook","Book","Table","Daily Life",3
"The elevator is going up.","Up",/ʌ/,"Which way is the elevator going?","Up","Cup","Down","Daily Life",1
"The beach is very sandy.","Sandy",/s/,"How is the beach?","Sandy","Candy","Shore","Outdoors",2
"She is walking in the rain.","Walking",/w/,"What is she doing in the rain?","Walking","Talking","Standing","Outdoors",2
"We are going to the zoo.","Zoo",/z/,"Where are we going?","Zoo","Shoe","Park","Outdoors",2
"She is looking for her cat.","Cat",/k/,"What is she looking for?","Cat","Bat","Pet","Daily Life",1
"The socks are dirty.","Socks",/s/,"What is dirty?","Socks","Rocks","Clothes","Daily Life",2
"He is fixing the roof.","Roof",/r/,"What is he fixing?","Roof","Goof","House","Daily Life",3
"The butter is on the table.","Butter",/b/,"What is on the table?","Butter","Gutter","Food","Dining",2
"The moon is full tonight.","Full",/f/,"How is the moon tonight?","Full","Dull","Bright","Outdoors",2
"I need a towel to dry off.","Towel",/t/,"What do I need to dry off?","Towel","Owl","Cloth","Daily Life",2
"The coffee shop is busy.","Busy",/b/,"How is the coffee shop?","Busy","Dizzy","Crowded","Dining",3
"The window is open.","Open",/oʊ/,"How is the window?","Open","Broken","Closed","Daily Life",1
"He is looking at the stars.","Stars",/st/,"What is he looking at?","Stars","Cars","Sky","Outdoors",2
"The dog is wagging its tail.","Tail",/t/,"What is the dog wagging?","Tail","Pail","Body","Daily Life",1
"The car needs an oil change.","Oil",/ɔɪ/,"What does the car need?","Oil","Boil","Service","Daily Life",3
"He is allergic to cats.","Cats",/k/,"What is he allergic to?","Cats","Hats","Pets","Daily Life",3
"The kitchen is clean.","Clean",/kl/,"How is the kitchen?","Clean","Mean","Tidy","Daily Life",2
"She is holding a baby.","Baby",/b/,"What is she holding?","Baby","Maybe","Child","Social",2
"The book is on the desk.","Desk",/d/,"Where is the book?","Desk","Disk","Table","Daily Life",1
"I need to buy a new lamp.","Lamp",/l/,"What do I need to buy?","Lamp","Ramp","Light","Daily Life",3
"He is watching the game on TV.","Game",/g/,"What is he watching on TV?","Game","Name","Show","Social",2
"The rice is cooking.","Rice",/r/,"What is cooking?","Rice","Mice","Food","Dining",2
"She is driving too fast.","Fast",/f/,"How is she driving?","Fast","Last","Quickly","Daily Life",2
"I need a haircut.","Haircut",/h/,"What do I need?","Haircut","Bear-cut","Trim","Daily Life",3
"The stairs are steep.","Steep",/st/,"How are the stairs?","Steep","Sleep","High","Daily Life",3
"The movie was scary.","Scary",/sk/,"How was the movie?","Scary","Hairy","Bad","Social",3
"The sun is setting.","Setting",/s/,"What is the sun doing?","Setting","Betting","Going down","Outdoors",2
"I need to do the laundry.","Laundry",/l/,"What do I need to do?","Laundry","Foundry","Chores","Daily Life",2
"She is wearing a green shirt.","Green",/g/,"What color is the shirt?","Green","Screen","Blue","Social",2
"The car is parked outside.","Parked",/p/,"Where is the car?","Parked","Barked","Outside","Daily Life",1
"The baby is crawling.","Crawling",/kr/,"What is the baby doing?","Crawling","Brawling","Moving","Daily Life",3
"She is watering the plants.","Plants",/pl/,"What is she watering?","Plants","Pants","Garden","Outdoors",1
"The coffee is cold.","Cold",/k/,"How is the coffee?","Cold","Old","Hot","Dining",1
"The traffic is bad today.","Bad",/b/,"How is the traffic today?","Bad","Sad","Heavy","Daily Life",2
"The water is boiling.","Boiling",/b/,"What is the water doing?","Boiling","Toiling","Hot","Dining",2
"I am feeling very happy.","Happy",/h/,"How am I feeling?","Happy","Sappy","Joyful","Social",2
"The book is on the table.","Table",/t/,"Where is the book?","Table","Cable","Desk","Daily Life",1
"He is playing soccer in the park.","Soccer",/s/,"What is he playing?","Soccer","Shocker","Football","Outdoors",3
"The cat is chasing the mouse.","Chasing",/tʃ/,"What is the cat doing?","Chasing","Pacing","Hunting","Daily Life",3
"She is wearing a red dress.","Dress",/dr/,"What is she wearing?","Dress","Press","Gown","Social",2
"The music is very relaxing.","Relaxing",/r/,"How is the music?","Relaxing","Taxing","Calm","Social",3
"I need to take my medicine.","Medicine",/m/,"What do I need to take?","Medicine","Pedicine","Pills","Daily Life",3
"The bird is eating a worm.","Worm",/w/,"What is the bird eating?","Worm","Warm","Bug","Outdoors",3
"He is driving too fast.","Fast",/f/,"How is he driving?","Fast","Last","Quickly","Daily Life",2
"She is looking out the window.","Window",/w/,"What is she looking out of?","Window","Shadow","Glass","Daily Life",2
"The car is making a strange noise.","Noise",/n/,"What is the car making?","Noise","Toys","Sound","Daily Life",4
"I am going to the doctor.","Doctor",/d/,"Who am I going to see?","Doctor","Proctor","Physician","Daily Life",3
"The baby is drinking milk.","Milk",/m/,"What is the baby drinking?","Milk","Silk","Formula","Daily Life",1
"He is wearing a hat and gloves.","Gloves",/g/,"What is he wearing besides a hat?","Gloves","Loves","Mittens","Daily Life",2
"The flowers are blooming in the spring.","Blooming",/b/,"What are the flowers doing?","Blooming","Rooming","Growing","Outdoors",3
"She is cutting the cake.","Cutting",/k/,"What is she doing to the cake?","Cutting","Putting","Slicing","Dining",2
"The dog is sleeping on the rug.","Rug",/r/,"Where is the dog sleeping?","Rug","Mug","Carpet","Daily Life",2
"I need to wash my hair.","Hair",/h/,"What do I need to wash?","Hair","Chair","Head","Daily Life",1
"The movie starts at seven.","Seven",/s/,"When does the movie start?","Seven","Eleven","Eight","Social",3
"He is eating cereal for breakfast.","Cereal",/s/,"What is he eating?","Cereal","Serial","Oatmeal","Dining",3
"The cat is playing with a ball.","Ball",/b/,"What is the cat playing with?","Ball","Wall","Toy","Daily Life",1
"She is wearing a scarf.","Scarf",/sk/,"What is she wearing?","Scarf","Barf","Wrap","Daily Life",3
"The water is leaking from the pipe.","Leaking",/l/,"What is the water doing?","Leaking","Peeking","Dripping","Daily Life",3
"I am reading a book about history.","History",/h/,"What is the book about?","History","Mystery","Facts","Daily Life",4
"The dog is wagging its tail.","Tail",/t/,"What is the dog wagging?","Tail","Pail","Body","Daily Life",2
"He is cleaning the windows.","Cleaning",/k/,"What is he doing to the windows?","Cleaning","Leaning","Washing","Daily Life",2
"The soup needs more salt.","Salt",/s/,"What does the soup need?","Salt","Fault","Seasoning","Dining",2
"She is looking for a parking spot.","Spot",/sp/,"What is she looking for?","Spot","Pot","Space","Daily Life",2
"The baby is wearing a diaper.","Diaper",/d/,"What is the baby wearing?","Diaper","Viper","Nappy","Daily Life",3
"I need to charge my laptop.","Laptop",/l/,"What do I need to charge?","Laptop","Tiptop","Computer","Daily Life",2
"The bird is sitting on the fence.","Fence",/f/,"Where is the bird sitting?","Fence","Sense","Wall","Outdoors",2
"He is drinking a beer.","Beer",/b/,"What is he drinking?","Beer","Deer","Ale","Dining",3
"The car is turning right.","Right",/r/,"Which way is the car turning?","Right","Light","Direction","Daily Life",2
"She is making a salad.","Salad",/s/,"What is she making?","Salad","Ballad","Meal","Dining",2
"The phone battery is low.","Battery",/b/,"What is low?","Battery","Flattery","Power","Daily Life",3
"I am going to the post office.","Post",/p/,"Where am I going?","Post","Host","Mail","Daily Life",2
"The dog is chasing the cat.","Cat",/k/,"What is the dog chasing?","Cat","Bat","Feline","Daily Life",2
"He is wearing a jacket.","Jacket",/dʒ/,"What is he wearing?","Jacket","Racket","Coat","Daily Life",2
"The water is very clear.","Clear",/k/,"How is the water?","Clear","Fear","Clean","Outdoors",2
"She is eating an orange.","Orange",/ɔr/,"What is she eating?","Orange","Hinge","Fruit","Dining",3
"The movie was very funny.","Funny",/f/,"How was the movie?","Funny","Sunny","Humorous","Social",2
"I need to brush my teeth.","Brush",/br/,"What do I need to do to my teeth?","Brush","Crush","Clean","Daily Life",1
"The cat is sitting on the mat.","Mat",/m/,"Where is the cat sitting?","Mat","Bat","Rug","Daily Life",1
"He is reading a magazine.","Magazine",/m/,"What is he reading?","Magazine","Gasoline","Booklet","Daily Life",3
"The soup is very tasty.","Tasty",/t/,"How is the soup?","Tasty","Hasty","Good","Dining",2
"She is wearing a ring.","Ring",/r/,"What is she wearing on her finger?","Ring","Wing","Jewelry","Social",2
"The car is very old.","Old",/oʊ/,"How is the car?","Old","Cold","Aged","Daily Life",2
"I am going to the bank.","Bank",/b/,"Where am I going?","Bank","Tank","Money","Daily Life",2
"The dog is very friendly.","Friendly",/fr/,"How is the dog?","Friendly","Trendily","Nice","Daily Life",3
"He is eating a cookie.","Cookie",/k/,"What is he eating?","Cookie","Bookie","Biscuit","Dining",2
"The water is very warm.","Warm",/w/,"How is the water?","Warm","Form","Hot","Daily Life",2
